Country,Page,Range,Type,Provider
ST,1,239,proper,
ST,2,2392226XXX,geographic,Companhia Santomense de Telecomunicações (CST)
ST,1,2392XXXXXX,geographic,
ST,3,23922510XX,geographic,Companhia Santomense de Telecomunicações (CST)
ST,1,23922XXXXX,geographic,Companhia Santomense de Telecomunicações (CST)
ST,3,23922511XX,geographic,Companhia Santomense de Telecomunicações (CST)
ST,4,23922721XX,geographic,Companhia Santomense de Telecomunicações (CST)
ST,3,23922512XX,geographic,Companhia Santomense de Telecomunicações (CST)
ST,2,2392227XXX,geographic,Companhia Santomense de Telecomunicações (CST)
ST,1,23922200XX,geographic,Companhia Santomense de Telecomunicações (CST)
ST,4,239228XXXX,geographic,Companhia Santomense de Telecomunicações (CST)
ST,3,23922513XX,geographic,Companhia Santomense de Telecomunicações (CST)
ST,2,2392228XXX,geographic,Companhia Santomense de Telecomunicações (CST)
ST,3,23922610XX,geographic,Companhia Santomense de Telecomunicações (CST)
ST,4,239229XXXX,geographic,Companhia Santomense de Telecomunicações (CST)
ST,2,23922310XX,geographic,Companhia Santomense de Telecomunicações (CST)
ST,3,23922611XX,geographic,Companhia Santomense de Telecomunicações (CST)
ST,1,23922201XX,geographic,Companhia Santomense de Telecomunicações (CST)
ST,4,2396XXXXXX,premiumrate,
ST,3,23922650XX,geographic,Companhia Santomense de Telecomunicações (CST)
ST,1,2392221XXX,geographic,Companhia Santomense de Telecomunicações (CST)
ST,2,23922311XX,geographic,Companhia Santomense de Telecomunicações (CST)
ST,4,239624XXXX,internetserviceprovider,Companhia Santomense de Telecomunicações (CST)
ST,1,2392222XXX,geographic,Companhia Santomense de Telecomunicações (CST)
ST,2,23922330XX,geographic,Companhia Santomense de Telecomunicações (CST)
ST,3,23922651XX,geographic,Companhia Santomense de Telecomunicações (CST)
ST,2,23922331XX,geographic,Companhia Santomense de Telecomunicações (CST)
ST,4,2397XXXXXX,virtualprivatenetwork,
ST,3,23922652XX,geographic,Companhia Santomense de Telecomunicações (CST)
ST,1,2392223XXX,geographic,Companhia Santomense de Telecomunicações (CST)
ST,2,23922332XX,geographic,Companhia Santomense de Telecomunicações (CST)
ST,1,2392224XXX,geographic,Companhia Santomense de Telecomunicações (CST)
ST,3,2392271XXX,geographic,Companhia Santomense de Telecomunicações (CST)
ST,4,23998XXXXX,mobile,Companhia Santomense de Telecomunicações (CSTmovel)
ST,4,23999XXXXX,mobile,Companhia Santomense de Telecomunicações (CSTmovel)
ST,1,2392225XXX,geographic,Companhia Santomense de Telecomunicações (CST)
ST,2,239224XXXX,geographic,Companhia Santomense de Telecomunicações (CST)
ST,4,2399XXXXXX,mobile,
ST,2,2392251XXX,geographic,
