Country,Page,Range,Type,Provider
SV,1,503,proper,
SV,1,50321XXXXXX,geographic,
SV,1,50322XXXXXX,geographic,
SV,2,50360XXXXXX,mobile,
SV,1,50323XXXXXX,geographic,
SV,2,50361XXXXXX,mobile,
SV,2,50362XXXXXX,mobile,
SV,1,50324XXXXXX,geographic,
SV,2,50363XXXXXX,mobile,
SV,2,50364XXXXXX,mobile,
SV,3,50370XXXXXX,mobile,
SV,1,50325XXXXXX,geographic,
SV,3,50371XXXXXX,mobile,
SV,2,50365XXXXXX,mobile,
SV,3,50372XXXXXX,mobile,
SV,2,50366XXXXXX,mobile,
SV,1,50326XXXXXX,geographic,
SV,4,5037980XXXX,mobile,Intelfon
SV,4,5037981XXXX,mobile,Intelfon
SV,4,5037982XXXX,mobile,Intelfon
SV,4,5037983XXXX,mobile,Intelfon
SV,1,50327XXXXXX,geographic,
SV,3,50373XXXXXX,mobile,
SV,2,50367XXXXXX,mobile,
SV,1,50328XXXXXX,geographic,
SV,3,50374XXXXXX,mobile,
SV,1,50329XXXXXX,geographic,
SV,2,50368XXXXXX,mobile,
SV,3,50375XXXXXX,mobile,
SV,4,503800XXXX,freephone,
SV,2,50369XXXXXX,mobile,
SV,3,50376XXXXXX,mobile,
SV,4,503800XXXXXXXX,freephone,
SV,3,50377XXXXXX,mobile,
SV,4,503900XXXXXXXX,premiumrate,
SV,3,50378XXXXXX,mobile,
SV,4,503900XXXX,premiumrate,
SV,3,50379XXXXXX,mobile,
