Country,Page,Range,Type,Provider
SY,10,96314223987X,geographic,Syrian Telecommunications Establishment (STE)
SY,10,96314223988X,geographic,Syrian Telecommunications Establishment (STE)
SY,19,96331211XXXX,geographic,Syrian Telecommunications Establishment (STE)
SY,19,96331212XXXX,geographic,Syrian Telecommunications Establishment (STE)
SY,10,96314223989X,geographic,Syrian Telecommunications Establishment (STE)
SY,14,9632122XXXX,geographic,Syrian Telecommunications Establishment (STE)
SY,15,9632165XXXX,geographic,Syrian Telecommunications Establishment (STE)
SY,20,96331232XXXX,geographic,Syrian Telecommunications Establishment (STE)
SY,19,96331213XXXX,geographic,Syrian Telecommunications Establishment (STE)
SY,10,963142268XXX,wirelessgeographic,Syrian Telecom (CDMA)
SY,14,9632123XXXX,geographic,Syrian Telecommunications Establishment (STE)
SY,13,9631589XXXX,geographic,Syrian Telecommunications Establishment (STE)
SY,19,96331214XXXX,geographic,Syrian Telecommunications Establishment (STE)
SY,15,9632166XXXX,geographic,Syrian Telecommunications Establishment (STE)
SY,18,9632375XXXX,geographic,Syrian Telecommunications Establishment (STE)
SY,22,96331263XXXX,geographic,Syrian Telecommunications Establishment (STE)
SY,1,963,proper,
SY,20,96331233XXXX,geographic,Syrian Telecommunications Establishment (STE)
SY,10,963142323XXX,geographic,Syrian Telecommunications Establishment (STE)
SY,17,96323XXXXXX,geographic,
SY,14,9632124XXXX,geographic,Syrian Telecommunications Establishment (STE)
SY,13,96316XXXXXX,geographic,
SY,18,9632377XXXX,geographic,Syrian Telecommunications Establishment (STE)
SY,22,96331264XXXX,geographic,Syrian Telecommunications Establishment (STE)
SY,20,96331234XXXX,geographic,Syrian Telecommunications Establishment (STE)
SY,10,963142330XXX,geographic,Syrian Telecommunications Establishment (STE)
SY,15,9632167XXXX,geographic,Syrian Telecommunications Establishment (STE)
SY,14,9632133XXXX,geographic,Syrian Telecommunications Establishment (STE)
SY,11,963142550XXX,geographic,Syrian Telecommunications Establishment (STE)
SY,17,96323XXXXXX,geographic,
SY,1,96311XXXXXXX,geographic,
SY,21,963312493XXX,geographic,Syrian Telecommunications Establishment (STE)
SY,20,96331235XXXX,geographic,Syrian Telecommunications Establishment (STE)
SY,19,96331216XXXX,geographic,Syrian Telecommunications Establishment (STE)
SY,22,96331275XXXX,geographic,Syrian Telecommunications Establishment (STE)
SY,10,963142424XXX,geographic,Syrian Telecommunications Establishment (STE)
SY,13,9631622XXXX,geographic,Syrian Telecommunications Establishment (STE)
SY,18,9632381XXXX,geographic,Syrian Telecommunications Establishment (STE)
SY,26,9633147583XX,geographic,Syrian Telecommunications Establishment (STE)
SY,2,96311232XXXX,geographic,Syrian Telecommunications Establishment (STE)
SY,10,963142431XXX,geographic,Syrian Telecommunications Establishment (STE)
SY,17,9632322XXXX,geographic,Syrian Telecommunications Establishment (STE)
SY,19,96331221XXXX,geographic,Syrian Telecommunications Establishment (STE)
SY,20,96331245XXXX,geographic,Syrian Telecommunications Establishment (STE)
SY,21,963312494XXX,geographic,Syrian Telecommunications Establishment (STE)
SY,14,9632144XXXX,geographic,Syrian Telecommunications Establishment (STE)
SY,13,9631623XXXX,geographic,Syrian Telecommunications Establishment (STE)
SY,18,9632383XXXX,geographic,Syrian Telecommunications Establishment (STE)
SY,19,96331222XXXX,geographic,Syrian Telecommunications Establishment (STE)
SY,11,963144226XXX,geographic,Syrian Telecommunications Establishment (STE)
SY,2,96311311XXXX,geographic,Syrian Telecommunications Establishment (STE)
SY,21,963312495XXX,geographic,Syrian Telecommunications Establishment (STE)
SY,1,96311211XXXX,geographic,Syrian Telecommunications Establishment (STE)
SY,18,9632385XXXX,geographic,Syrian Telecommunications Establishment (STE)
SY,10,963142533XXX,geographic,Syrian Telecommunications Establishment (STE)
SY,20,96331246XXXX,geographic,Syrian Telecommunications Establishment (STE)
SY,17,9632323XXXX,geographic,Syrian Telecommunications Establishment (STE)
SY,26,963314849XXX,geographic,Syrian Telecommunications Establishment (STE)
SY,23,963314406XXX,geographic,Syrian Telecommunications Establishment (STE)
SY,18,96325XXXXXX,geographic,
SY,20,96331247XXXX,geographic,Syrian Telecommunications Establishment (STE)
SY,12,9631524XXXX,geographic,Syrian Telecommunications Establishment (STE)
SY,24,963314568XXX,geographic,Syrian Telecommunications Establishment (STE)
SY,15,9632168XXXX,geographic,Syrian Telecommunications Establishment (STE)
SY,22,96331276XXXX,geographic,Syrian Telecommunications Establishment (STE)
SY,13,9631624XXXX,geographic,Syrian Telecommunications Establishment (STE)
SY,23,963314407XXX,geographic,Syrian Telecommunications Establishment (STE)
SY,19,96331223XXXX,geographic,Syrian Telecommunications Establishment (STE)
SY,2,96311312XXXX,geographic,Syrian Telecommunications Establishment (STE)
SY,18,9632521XXXX,geographic,Syrian Telecommunications Establishment (STE)
SY,21,963312496XXX,geographic,Syrian Telecommunications Establishment (STE)
SY,17,9632324XXXX,geographic,Syrian Telecommunications Establishment (STE)
SY,14,9632146XXXX,geographic,Syrian Telecommunications Establishment (STE)
SY,26,963314850XXX,geographic,Syrian Telecommunications Establishment (STE)
SY,10,96314253974X,geographic,Syrian Telecommunications Establishment (STE)
SY,12,9631571XXXX,geographic,Syrian Telecommunications Establishment (STE)
SY,24,963314569XXX,geographic,Syrian Telecommunications Establishment (STE)
SY,27,9633148599XX,geographic,Syrian Telecommunications Establishment (STE)
SY,11,963144325XXX,geographic,Syrian Telecommunications Establishment (STE)
SY,13,9631671XXXX,geographic,Syrian Telecommunications Establishment (STE)
SY,22,96331277XXXX,geographic,Syrian Telecommunications Establishment (STE)
SY,20,96331248XXXX,geographic,Syrian Telecommunications Establishment (STE)
SY,19,96331224XXXX,geographic,Syrian Telecommunications Establishment (STE)
SY,21,963312497XXX,geographic,Syrian Telecommunications Establishment (STE)
SY,2,96311321XXXX,geographic,Syrian Telecommunications Establishment (STE)
SY,26,963314851XXX,geographic,Syrian Telecommunications Establishment (STE)
SY,17,9632352XXXX,geographic,Syrian Telecommunications Establishment (STE)
SY,24,963314571XXX,geographic,Syrian Telecommunications Establishment (STE)
SY,1,96311212XXXX,geographic,Syrian Telecommunications Establishment (STE)
SY,29,963315562XXX,geographic,Syrian Telecommunications Establishment (STE)
SY,18,9632571XXXX,geographic,Syrian Telecommunications Establishment (STE)
SY,15,9632171XXXX,geographic,Syrian Telecommunications Establishment (STE)
SY,14,9632155XXXX,geographic,Syrian Telecommunications Establishment (STE)
SY,23,963314408XXX,geographic,Syrian Telecommunications Establishment (STE)
SY,19,96331231XXXX,geographic,Syrian Telecommunications Establishment (STE)
SY,18,9632573XXXX,geographic,Syrian Telecommunications Establishment (STE)
SY,16,9632183XXXX,geographic,Syrian Telecommunications Establishment (STE)
SY,21,96331251XXXX,geographic,Syrian Telecommunications Establishment (STE)
SY,2,96311322XXXX,geographic,Syrian Telecommunications Establishment (STE)
SY,28,963315536XXX,geographic,Syrian Telecommunications Establishment (STE)
SY,24,963314572XXX,geographic,Syrian Telecommunications Establishment (STE)
SY,25,963314715XXX,geographic,Syrian Telecommunications Establishment (STE)
SY,13,9631673XXXX,geographic,Syrian Telecommunications Establishment (STE)
SY,17,9632362XXXX,geographic,Syrian Telecommunications Establishment (STE)
SY,26,963314852XXX,geographic,Syrian Telecommunications Establishment (STE)
SY,27,963314866XXX,geographic,Syrian Telecommunications Establishment (STE)
SY,20,963312491XXX,geographic,Syrian Telecommunications Establishment (STE)
SY,1,96311213XXXX,geographic,Syrian Telecommunications Establishment (STE)
SY,14,9632162XXXX,geographic,Syrian Telecommunications Establishment (STE)
SY,28,963315537XXX,geographic,Syrian Telecommunications Establishment (STE)
SY,16,9632185XXXX,geographic,Syrian Telecommunications Establishment (STE)
SY,21,96331252XXXX,geographic,Syrian Telecommunications Establishment (STE)
SY,12,9631573XXXX,geographic,Syrian Telecommunications Establishment (STE)
SY,17,9632363XXXX,geographic,Syrian Telecommunications Establishment (STE)
SY,24,963314660XXX,geographic,Syrian Telecommunications Establishment (STE)
SY,11,963144332XXX,geographic,Syrian Telecommunications Establishment (STE)
SY,29,963315666XXX,geographic,Syrian Telecommunications Establishment (STE)
SY,13,9631675XXXX,geographic,Syrian Telecommunications Establishment (STE)
SY,25,963314716XXX,geographic,Syrian Telecommunications Establishment (STE)
SY,18,96331XXXXXXX,geographic,
SY,22,96331278XXXX,geographic,Syrian Telecommunications Establishment (STE)
SY,20,963312492XXX,geographic,Syrian Telecommunications Establishment (STE)
SY,14,9632163XXXX,geographic,Syrian Telecommunications Establishment (STE)
SY,21,963312588XXX,geographic,Syrian Telecommunications Establishment (STE)
SY,2,96311331XXXX,geographic,Syrian Telecommunications Establishment (STE)
SY,23,963314464XXX,geographic,Syrian Telecommunications Establishment (STE)
SY,28,963315541XXX,geographic,Syrian Telecommunications Establishment (STE)
SY,15,9632172XXXX,geographic,Syrian Telecommunications Establishment (STE)
SY,24,963314661XXX,geographic,Syrian Telecommunications Establishment (STE)
