Country,Page,Range,Type,Provider
SY,69,963932XXXXXX,mobile,Syriatel
SY,69,963931XXXXXX,mobile,Syriatel
SY,69,963933XXXXXX,mobile,Syriatel
SY,69,963935XXXXXX,mobile,Syriatel
SY,69,963943XXXXXX,mobile,MTN Syria
SY,69,963942XXXXXX,mobile,MTN Syria
SY,69,963945XXXXXX,mobile,MTN Syria
SY,69,963944XXXXXX,mobile,MTN Syria
SY,69,963947XXXXXX,mobile,MTN Syria
SY,70,963949XXXXXX,mobile,MTN Syria
SY,70,963956XXXXXX,mobile,MTN Syria
SY,70,963955XXXXXX,mobile,MTN Syria
SY,70,963962XXXXXX,mobile,MTN Syria
SY,70,963966XXXXXX,mobile,MTN Syria
SY,70,963969XXXXXX,mobile,MTN Syria
SY,70,963988XXXXXX,mobile,Syriatel
SY,70,963992XXXXXX,mobile,Syriatel
SY,70,963991XXXXXX,mobile,Syriatel
SY,71,963994XXXXXX,mobile,Syriatel
SY,70,963993XXXXXX,mobile,Syriatel
SY,71,963998XXXXXX,mobile,Syriatel
SY,71,963999XXXXXX,mobile,Syriatel
