Country,Page,Range,Type,Provider
SZ,2,+2682303XXXX,geographic,Swaziland Posts and Telecommunications Corporation (SPTC)
SZ,12,+2688601XXXX,internetserviceprovider,
SZ,6,+2682519XXXX,geographic,Swaziland Posts and Telecommunications Corporation (SPTC)
SZ,2,+2682304XXXX,geographic,Swaziland Posts and Telecommunications Corporation (SPTC)
SZ,5,+2682467XXXX,geographic,Swaziland Posts and Telecommunications Corporation (SPTC)
SZ,6,+26825274XXX,geographic,Swaziland Posts and Telecommunications Corporation (SPTC)
SZ,12,+2688602XXXX,internetserviceprovider,
SZ,2,+2682312XXXX,geographic,Swaziland Posts and Telecommunications Corporation (SPTC)
SZ,5,+2682472XXXX,geographic,Swaziland Posts and Telecommunications Corporation (SPTC)
SZ,11,+268358XXXXX,geographic,Swazi MTN Ltd
SZ,13,+26891X(XXX),routingcode,Emergency
SZ,6,+2682528XXXX,geographic,Swaziland Posts and Telecommunications Corporation (SPTC)
SZ,11,+268359XXXXX,geographic,Swazi MTN Ltd
SZ,1,268,proper,
SZ,13,+26892X(XXX),routingcode,Emergency
SZ,6,+26825373XXX,geographic,Swaziland Posts and Telecommunications Corporation (SPTC)
SZ,12,+2688603XXXX,internetserviceprovider,
SZ,4,+2682406XXXX,geographic,Swaziland Posts and Telecommunications Corporation (SPTC)
SZ,6,+2682538XXXX,VoIPtelephony,Swaziland Posts and Telecommunications Corporation (SPTC)
SZ,5,+2682482XXXX,geographic,Swaziland Posts and Telecommunications Corporation (SPTC)
SZ,12,+268861XXXXX,sharedcost,Call Centre business
SZ,13,+26893X(XXX),routingcode,Emergency
SZ,6,+2682548XXXX,VoIPtelephony,Swaziland Posts and Telecommunications Corporation (SPTC)
SZ,11,+268550XXXX,wirelessgeographic,Swaziland Posts and Telecommunications Corporation (SPTC)
SZ,1,+26822XXXXXX,geographic,
SZ,2,+2682313XXXX,geographic,Swaziland Posts and Telecommunications Corporation (SPTC)
SZ,4,+2682409XXXX,geographic,Swaziland Posts and Telecommunications Corporation (SPTC)
SZ,1,+2682200XXXX,VoIPtelephony,Swaziland Posts and Telecommunications Corporation (SPTC)
SZ,5,+26825XXXXXX,geographic,
SZ,6,+2682550XXXX,wirelessgeographic,Swaziland Posts and Telecommunications Corporation (SPTC)
SZ,7,+268321XXXXX,geographic,Swazi Mobile Ltd
SZ,12,+26886919XXX,sharedcost,Telebanking
SZ,3,+2682344XXXX,geographic,Swaziland Posts and Telecommunications Corporation (SPTC)
SZ,13,+26894X(XXX),routingcode,Emergency
SZ,11,+268551XXXX,wirelessgeographic,Swaziland Posts and Telecommunications Corporation (SPTC)
SZ,4,+2682416XXXX,geographic,Swaziland Posts and Telecommunications Corporation (SPTC)
SZ,9,+268340XXXXX,geographic,Swazi Mobile Ltd
SZ,2,+2682322XXXX,geographic,Swaziland Posts and Telecommunications Corporation (SPTC)
SZ,5,+2682505XXXX,geographic,Swaziland Posts and Telecommunications Corporation (SPTC)
SZ,1,+2682207XXXX,geographic,Swaziland Posts and Telecommunications Corporation (SPTC)
SZ,13,+26895X(XXX),routingcode,Emergency
SZ,1,+2682217XXXX,geographic,Swaziland Posts and Telecommunications Corporation (SPTC)
SZ,6,+2682551XXXX,wirelessgeographic,Swaziland Posts and Telecommunications Corporation (SPTC)
SZ,7,+268322XXXXX,geographic,Swazi Mobile Ltd
SZ,5,+2682506XXXX,geographic,Swaziland Posts and Telecommunications Corporation (SPTC)
SZ,9,+268340XXXXX,geographic,Swazi Mobile Ltd
SZ,3,+2682363XXXX,geographic,Swaziland Posts and Telecommunications Corporation (SPTC)
SZ,12,+26886929XXX,sharedcost,Telebanking
SZ,4,+2682421XXXX,geographic,Swaziland Posts and Telecommunications Corporation (SPTC)
SZ,8,+268330XXXXX,geographic,Swazi Mobile Ltd
SZ,11,+26870XXXXXX,VoIPtelephony,
SZ,2,+26823232XXX,geographic,Swaziland Posts and Telecommunications Corporation (SPTC)
SZ,3,+2682364XXXX,geographic,Swaziland Posts and Telecommunications Corporation (SPTC)
SZ,13,+26896X(XXX),routingcode,Emergency
SZ,8,+268331XXXXX,geographic,Swazi Mobile Ltd
SZ,9,+268341XXXXX,geographic,Swazi Mobile Ltd
SZ,4,+2682422XXXX,geographic,Swaziland Posts and Telecommunications Corporation (SPTC)
SZ,12,+26886939XXX,sharedcost,Telebanking
SZ,1,+2682225XXXX,geographic,Swaziland Posts and Telecommunications Corporation (SPTC)
SZ,8,+268332XXXXX,geographic,Swazi Mobile Ltd
