Country,Page,Range,Type,Provider
TD,10,+23522525XXX,geographic,Sotel Tchad
TD,11,+23522530XXX,geographic,Sotel Tchad
TD,15,+235225408XX,geographic,Sotel Tchad
TD,10,+23522526XXX,geographic,Sotel Tchad
TD,13,+2352254XXXX,geographic,
TD,10,+23522527XXX,geographic,Sotel Tchad
TD,11,+23522531XXX,geographic,Sotel Tchad
TD,15,+235225409XX,geographic,Sotel Tchad
TD,19,+2352268XXXX,geographic,
TD,23,+23522685XXX,geographic,Sotel Tchad
TD,10,+23522528XXX,geographic,Sotel Tchad
TD,13,+2352254XXXX,geographic,
TD,11,+23522532XXX,geographic,Sotel Tchad
TD,16,+235225418XX,geographic,Sotel Tchad
TD,15,+235225410XX,geographic,Sotel Tchad
TD,19,+2352268XXXX,geographic,
TD,20,+2352268XXXX,geographic,
TD,19,+2352268XXXX,geographic,
TD,15,+235225411XX,geographic,Sotel Tchad
TD,10,+23522529XXX,geographic,Sotel Tchad
TD,23,+23522686XXX,geographic,Sotel Tchad
TD,16,+235225419XX,geographic,Sotel Tchad
TD,21,+23522681XXX,geographic,Sotel Tchad
TD,19,+2352268XXXX,geographic,
TD,20,+2352268XXXX,geographic,
TD,21,+23522682XXX,geographic,Sotel Tchad
TD,19,+2352268XXXX,geographic,
TD,10,+2352253XXXX,geographic,
TD,23,+23522687XXX,geographic,Sotel Tchad
TD,11,+23522533XXX,geographic,Sotel Tchad
TD,16,+235225420XX,geographic,Sotel Tchad
TD,1,235,proper,
TD,14,+2352254XXXX,geographic,
TD,21,+23522682XXX,geographic,Sotel Tchad
TD,18,+2352268XXXX,geographic,
TD,23,+23522688XXX,geographic,Sotel Tchad
TD,13,+2352254XXXX,geographic,
TD,20,+2352268XXXX,geographic,
TD,15,+235225412XX,geographic,Sotel Tchad
TD,28,+2352269XXXX,geographic,
TD,12,+2352254XXXX,geographic,
TD,17,+2352268XXXX,geographic,
TD,19,+2352268XXXX,geographic,
TD,11,+23522534XXX,geographic,Sotel Tchad
TD,27,+2352269XXXX,geographic,
TD,21,+23522683XXX,geographic,Sotel Tchad
TD,18,+2352268XXXX,geographic,
TD,1,+2352230XXXX,wirelessgeographic,Sotel Tchad (Tawali)
