Country,Page,Range,Type,Provider
TD,41,235990XXXXX,mobile,Millicom (Tigo)
TD,42,235996XXXXX,mobile,Millicom (Tigo)
TD,42,235995XXXXX,mobile,Millicom (Tigo)
TD,42,235998XXXXX,mobile,Millicom (Tigo)
TD,42,235997XXXXX,mobile,Millicom (Tigo)
TD,42,235992XXXXX,mobile,Millicom (Tigo)
TD,42,235991XXXXX,mobile,Millicom (Tigo)
TD,42,235994XXXXX,mobile,Millicom (Tigo)
TD,42,235993XXXXX,mobile,Millicom (Tigo)
TD,42,235999XXXXX,mobile,Millicom (Tigo)
TD,41,235952XXXXX,mobile,Millicom (Tigo)
TD,41,235951XXXXX,mobile,Millicom (Tigo)
TD,41,235954XXXXX,mobile,Millicom (Tigo)
TD,41,235953XXXXX,mobile,Millicom (Tigo)
TD,41,235950XXXXX,mobile,Millicom (Tigo)
TD,40,235660XXXXX,mobile,Airtel Tchad S.A. (Zain)
TD,40,235666XXXXX,mobile,Airtel Tchad S.A. (Zain)
TD,40,235665XXXXX,mobile,Airtel Tchad S.A. (Zain)
TD,41,235668XXXXX,mobile,Airtel Tchad S.A. (Zain)
TD,40,235667XXXXX,mobile,Airtel Tchad S.A. (Zain)
TD,40,235662XXXXX,mobile,Airtel Tchad S.A. (Zain)
TD,40,235661XXXXX,mobile,Airtel Tchad S.A. (Zain)
TD,40,235664XXXXX,mobile,Airtel Tchad S.A. (Zain)
TD,40,235663XXXXX,mobile,Airtel Tchad S.A. (Zain)
TD,41,235669XXXXX,mobile,Airtel Tchad S.A. (Zain)
TD,39,235633XXXXX,mobile,Airtel Tchad S.A. (Zain)
TD,39,235632XXXXX,mobile,Airtel Tchad S.A. (Zain)
TD,39,235635XXXXX,mobile,Airtel Tchad S.A. (Zain)
TD,39,235634XXXXX,mobile,Airtel Tchad S.A. (Zain)
TD,39,235631XXXXX,mobile,Airtel Tchad S.A. (Zain)
TD,39,235630XXXXX,mobile,Airtel Tchad S.A. (Zain)
TD,39,235620XXXXX,mobile,Airtel Tchad S.A. (Zain)
TD,41,23577XXXXXX,mobile,Tchad Mobile (Salam)
TD,39,23565XXXXXX,mobile,Airtel Tchad S.A. (Zain)
