Country,Page,Range,Type,Provider
TG,7,228701XXXXX,mobile,Togo Cellulaire (Togocel)
TG,7,228700XXXXX,mobile,Togo Cellulaire (Togocel)
TG,7,228703XXXXX,mobile,Togo Cellulaire (Togocel)
TG,7,228702XXXXX,mobile,Togo Cellulaire (Togocel)
TG,7,228704XXXXX,mobile,Togo Cellulaire (Togocel)
TG,7,228798XXXXX,mobile,Atlantique Télécom Togo SA (MOOV)
TG,7,228797XXXXX,mobile,Atlantique Télécom Togo SA (MOOV)
TG,8,228799XXXXX,mobile,Atlantique Télécom Togo SA (MOOV)
TG,11,22898XXXXXX,mobile,Atlantique Télécom Togo SA (MOOV)
TG,12,22899XXXXXX,mobile,Atlantique Télécom Togo SA (MOOV)
TG,8,22890XXXXXX,mobile,Togo Cellulaire (Togocel)
TG,10,22891XXXXXX,mobile,Togo Cellulaire (Togocel)
TG,11,22892XXXXXX,mobile,Togo Cellulaire (Togocel)
TG,11,22893XXXXXX,mobile,Togo Cellulaire (Togocel)
