Country,Page,Range,Type,Provider
TJ,10,+9923453XXXXX,geographic,
TJ,10,+99234532XXXX,geographic,Tajiktelecom
TJ,10,+9923454XXXXX,geographic,
TJ,12,+9923522XXXXX,geographic,
TJ,10,+99234542XXXX,geographic,Tajiktelecom
TJ,12,+99235222XXXX,geographic,Tajiktelecom
TJ,1,992,proper,
TJ,12,+9923551XXXXX,geographic,
TJ,10,+9923455XXXXX,geographic,
TJ,1,+9923130XXXXX,geographic,
TJ,10,+99234552XXXX,geographic,Tajiktelecom
TJ,12,+99235512XXXX,geographic,Tajiktelecom
TJ,1,+99231302XXXX,geographic,Tajiktelecom
TJ,11,+9923464XXXXX,geographic,
TJ,10,+9923456XXXXX,geographic,
TJ,14,+9929XXXXXXXX,mobile,
TJ,2,+99231342XXXX,geographic,Tajiktelecom
TJ,13,+9923555XXXXX,geographic,
TJ,11,+99234642XXXX,geographic,Tajiktelecom
TJ,12,+9923552XXXXX,geographic,
TJ,13,+99235552XXXX,geographic,Tajiktelecom
TJ,2,+9923135XXXXX,geographic,
TJ,1,+9923131XXXXX,geographic,
TJ,11,+9923465XXXXX,geographic,
TJ,12,+99235522XXXX,geographic,Tajiktelecom
TJ,2,+99231353XXXX,geographic,Tajiktelecom
TJ,10,+99234562XXXX,geographic,Tajiktelecom
TJ,2,+9923136XXXXX,geographic,
TJ,11,+99234652XXXX,geographic,Tajiktelecom
TJ,1,+99231312XXXX,geographic,Tajiktelecom
TJ,12,+9923553XXXXX,geographic,
TJ,1,+9923132XXXXX,geographic,
TJ,13,+9923556XXXXX,geographic,
TJ,4,+99231562XXXX,geographic,Tajiktelecom
TJ,6,+9923250XXXXX,geographic,
TJ,12,+99235532XXXX,geographic,Tajiktelecom
TJ,3,+99231392XXXX,geographic,Tajiktelecom
TJ,1,+99231322XXXX,geographic,Tajiktelecom
TJ,10,+9923462XXXXX,geographic,
TJ,13,+99235562XXXX,geographic,Tajiktelecom
TJ,4,+9923222XXXXX,geographic,
TJ,14,+992505XXXXXX,mobile,Somoncom (Tcell)
TJ,14,+992915XXXXXX,mobile,SLL TACOM
TJ,3,+9923141XXXXX,geographic,
TJ,11,+9923467XXXXX,geographic,
TJ,2,+99231362XXXX,geographic,Tajiktelecom
TJ,12,+9923554XXXXX,geographic,
TJ,14,+992917XXXXXX,mobile,MLT (TT-Mobile)
TJ,6,+99232506XXXX,geographic,Tajiktelecom
TJ,14,+9929186XXXXX,mobile,Babilon Mobile
TJ,14,+9929188XXXXX,mobile,Babilon Mobile
TJ,14,+99291900XXXX,mobile,SLL TACOM
TJ,14,+99291901XXXX,mobile,SLL TACOM
TJ,13,+992372XXXXXX,geographic,
TJ,12,+99235542XXXX,geographic,Tajiktelecom
TJ,10,+99234622XXXX,geographic,Tajiktelecom
TJ,2,+9923137XXXXX,geographic,
TJ,11,+99234673XXXX,geographic,Tajiktelecom
TJ,3,+99231412XXXX,geographic,Tajiktelecom
TJ,1,+9923133XXXXX,geographic,
TJ,6,+9923251XXXXX,geographic,
TJ,14,+99291902XXXX,mobile,SLL TACOM
TJ,9,+9923442XXXXX,geographic,
TJ,14,+992919XXXXXX,mobile,TAKOM (Beeline)
TJ,4,+99232222XXXX,geographic,Tajiktelecom
TJ,15,+99291903XXXX,mobile,SLL TACOM
TJ,7,+9923314XXXXX,geographic,
TJ,2,+99231372XXXX,geographic,Tajiktelecom
TJ,13,+9923722XXXXX,geographic,Tajiktelecom
TJ,6,+99232512XXXX,geographic,Tajiktelecom
TJ,11,+9923475XXXXX,geographic,
TJ,15,+992927XXXXXX,mobile,Somoncom (Tcell)
TJ,9,+99234423XXXX,geographic,Tajiktelecom
TJ,15,+992935XXXXXX,mobile,Indigo Tajikistan
TJ,7,+99233142XXXX,geographic,Tajiktelecom
