Country,Page,Range,Type,Provider
TK,1,690,proper,
TK,1,+69022XX(XXX),geographic,Tokelau Telecommunications Corporation (Teletok)
TK,1,+69023XX(XXX),geographic,Tokelau Telecommunications Corporation (Teletok)
TK,1,+69024XX(XXX),geographic,Tokelau Telecommunications Corporation (Teletok)
TK,1,+6905XXX(XXX),mobile,Tokelau Telecommunications Corporation (Teletok)
TK,1,+6906XXX(XXX),mobile,Tokelau Telecommunications Corporation (Teletok)
TK,1,+69072XX(XXX),mobile,Tokelau Telecommunications Corporation (Teletok)
TK,1,+6903XXX(XXX),geographic,Tokelau Telecommunications Corporation (Teletok)
TK,1,+69073XX(XXX),mobile,Tokelau Telecommunications Corporation (Teletok)
TK,2,+69074XX(XXX),mobile,Tokelau Telecommunications Corporation (Teletok)
TK,2,+6908XXX(XXX),mobile,Tokelau Telecommunications Corporation (Teletok)
TK,2,+6909XXX(XXX),mobile,Tokelau Telecommunications Corporation (Teletok)
TK,1,+6904XXX(XXX),geographic,Tokelau Telecommunications Corporation (Teletok)
