Country,Page,Range,Type,Provider
TK,2,69074XX,mobile,Tokelau Telecommunications Corporation (Teletok)
TK,1,69073XX,mobile,Tokelau Telecommunications Corporation (Teletok)
TK,1,69072XX,mobile,Tokelau Telecommunications Corporation (Teletok)
TK,2,69074XXX,mobile,Tokelau Telecommunications Corporation (Teletok)
TK,1,69073XXX,mobile,Tokelau Telecommunications Corporation (Teletok)
TK,1,69072XXX,mobile,Tokelau Telecommunications Corporation (Teletok)
TK,2,69074XXXX,mobile,Tokelau Telecommunications Corporation (Teletok)
TK,1,69073XXXX,mobile,Tokelau Telecommunications Corporation (Teletok)
TK,1,69072XXXX,mobile,Tokelau Telecommunications Corporation (Teletok)
TK,2,69074XXXXX,mobile,Tokelau Telecommunications Corporation (Teletok)
TK,1,69073XXXXX,mobile,Tokelau Telecommunications Corporation (Teletok)
TK,1,69072XXXXX,mobile,Tokelau Telecommunications Corporation (Teletok)
