Country,Page,Range,Type,Provider
TL,4,670773XXXXX,mobile,Timor Telecom
TL,3,670772XXXXX,mobile,Timor Telecom
TL,4,670778XXXXX,mobile,Timor Telecom
TL,4,670777XXXXX,mobile,Timor Telecom
TL,4,670776XXXXX,mobile,Timor Telecom
TL,4,670775XXXXX,mobile,Timor Telecom
TL,4,670774XXXXX,mobile,Timor Telecom
TL,3,67076XXXXXX,mobile,Viettel (Telmor)
TL,3,67075XXXXXX,mobile,Viettel (Telmor)
TL,3,67074XXXXXX,mobile,Telkomcel (Telin)
TL,3,67073XXXXXX,mobile,Telkomcel (Telin)
TL,4,67078XXXXXX,mobile,Timor Telecom
