Country,Page,Range,Type,Provider
TM,5,+993442XXXXX,geographic,
TM,6,+9935XXXXXXX,geographic,
TM,2,+993138XXXXX,geographic,
TM,7,+993568XXXXX,geographic,
TM,5,+993443XXXXX,geographic,
TM,3,+993247XXXXX,geographic,
TM,4,+993348XXXXX,geographic,
TM,2,+9931392XXXX,geographic,
TM,6,+993522XXXXX,geographic,
TM,3,+993248XXXXX,geographic,
TM,7,+993569XXXXX,geographic,
TM,4,+993349XXXXX,geographic,
TM,3,+9933XXXXXXX,geographic,
TM,5,+993444XXXXX,geographic,
TM,4,+993360XXXXX,geographic,
TM,2,+9932XXXXXXX,geographic,
TM,6,+993557XXXXX,geographic,
TM,5,+993445XXXXX,geographic,
TM,4,+9934XXXXXXX,geographic,
TM,5,+993446XXXXX,geographic,
TM,7,993,mobile,Altyn Asyr (TMCell)
TM,3,+993322XXXXX,geographic,
TM,2,+993222XXXXX,geographic,
TM,1,993,proper,
TM,7,993,mobile,Altyn Asyr (TMCell)
TM,7,993,mobile,Altyn Asyr (TMCell)
TM,7,993,mobile,Altyn Asyr (TMCell)
TM,6,+993558XXXXX,geographic,
TM,5,+993447XXXXX,geographic,
TM,7,993,mobile,Altyn Asyr (TMCell)
TM,7,993,mobile,Altyn Asyr (TMCell)
TM,4,+993422XXXXX,geographic,
TM,7,+9936XXXXXXX,mobile,Barash Communication Technologies INC (MTS Turkmenistan)
TM,3,+993340XXXXX,geographic,
TM,6,+993559XXXXX,geographic,
TM,2,+993240XXXXX,geographic,
TM,1,+99312XXXXXX,geographic,
TM,5,+993448XXXXX,geographic,
TM,5,+993449XXXXX,geographic,
TM,3,+993343XXXXX,geographic,
TM,4,+993431XXXXX,geographic,
TM,2,+993241XXXXX,geographic,
TM,1,+99313XXXXXX,geographic,
TM,5,+993461XXXXX,geographic,
TM,3,+993344XXXXX,geographic,
TM,6,+993560XXXXX,geographic,
TM,5,+993465XXXXX,geographic,
TM,2,+993242XXXXX,geographic,
TM,4,+993432XXXXX,geographic,
TM,1,+993131XXXXX,geographic,
TM,3,+993345XXXXX,geographic,
TM,2,+993243XXXXX,geographic,
TM,1,+993132XXXXX,geographic,
TM,4,+993438XXXXX,geographic,
TM,6,+993561XXXXX,geographic,
TM,2,+993245XXXXX,geographic,
TM,6,+993564XXXXX,geographic,
TM,3,+993346XXXXX,geographic,
TM,1,+993133XXXXX,geographic,
TM,6,+993565XXXXX,geographic,
TM,2,+993246XXXXX,geographic,
TM,3,+993347XXXXX,geographic,
TM,4,+993440XXXXX,geographic,
TM,6,+993566XXXXX,geographic,
TM,1,+993134XXXXX,geographic,
TM,1,+993135XXXXX,geographic,
TM,4,+993441XXXXX,geographic,
TM,1,+993136XXXXX,geographic,
TM,1,+993137XXXXX,geographic,
