Country,Page,Range,Type,Provider
TN,1,216,proper,
TN,1,2161620,videotext,
TN,11,2168860,audiotext,Tunisie Télécom
TN,4,+216360XXXXX,wirelessgeographic,ooredoo Tunisiana
TN,1,2161790,pager,ONT
TN,4,+216361XXXXX,wirelessgeographic,ooredoo Tunisiana
TN,3,+2163001XXXX,wirelessgeographic,Orange Tunisie
TN,1,+21620XXXXXX,mobile,ooredoo Tunisiana
TN,4,+216362XXXXX,wirelessgeographic,ooredoo Tunisiana
TN,10,+21679XXXXXX,geographic,Tunisie Télécom
TN,1,+21621XXXXXX,mobile,ooredoo Tunisiana
TN,1,2161799,pager,Besrour Intercom
TN,1,+21622XXXXXX,mobile,ooredoo Tunisiana
TN,1,+21623XXXXXX,mobile,ooredoo Tunisiana
TN,4,+216363XXXXX,wirelessgeographic,ooredoo Tunisiana
TN,1,+21624XXXXXX,mobile,ooredoo Tunisiana
TN,1,+21625XXXXXX,mobile,ooredoo Tunisiana
TN,3,+216311XXXXX,wirelessgeographic,Orange Tunisie
TN,2,+21626XXXXXX,mobile,ooredoo Tunisiana
TN,2,+21627XXXXXX,mobile,ooredoo Tunisiana
TN,4,+216364XXXXX,wirelessgeographic,ooredoo Tunisiana
TN,3,+216312XXXXX,wirelessgeographic,Orange Tunisie
TN,2,+21628XXXXXX,mobile,ooredoo Tunisiana
TN,2,+216290XXXXX,mobile,ooredoo Tunisiana
TN,2,+216291XXXXX,mobile,ooredoo Tunisiana
TN,2,+216292XXXXX,mobile,ooredoo Tunisiana
TN,10,+21680XXXXXX,freephone,
TN,2,+216293XXXXX,mobile,ooredoo Tunisiana
TN,2,+216294XXXXX,mobile,ooredoo Tunisiana
TN,2,+216295XXXXX,mobile,ooredoo Tunisiana
TN,2,+216296XXXXX,mobile,ooredoo Tunisiana
TN,3,+216297XXXXX,mobile,ooredoo Tunisiana
TN,3,+216298XXXXX,mobile,ooredoo Tunisiana
TN,3,+216299XXXXX,mobile,ooredoo Tunisiana
TN,4,+21640XXXXXX,mobile,Tunisie Télécom (Tunicell)
TN,4,+216410XXXXX,mobile,Tunisie Télécom (Tunicell)
TN,4,+216411XXXXX,mobile,Tunisie Télécom (Tunicell)
TN,4,+216412XXXXX,mobile,Tunisie Télécom (Tunicell)
TN,4,+216391XXXXX,wirelessgeographic,ooredoo Tunisiana
TN,5,+216413XXXXX,mobile,Tunisie Télécom (Tunicell)
TN,3,+216313XXXXX,wirelessgeographic,Orange Tunisie
TN,8,+21672XXXXXX,geographic,Tunisie Télécom
TN,5,+216414XXXXX,mobile,Tunisie Télécom (Tunicell)
TN,5,+216415XXXXX,mobile,Tunisie Télécom (Tunicell)
TN,5,+216416XXXXX,mobile,Tunisie Télécom (Tunicell)
TN,5,+216417XXXXX,mobile,Tunisie Télécom (Tunicell)
TN,5,+216418XXXXX,mobile,Tunisie Télécom (Tunicell)
TN,5,+216419XXXXX,mobile,Tunisie Télécom (Tunicell)
TN,5,+216421XXXXX,mobile,Tunisie Télécom (Tunicell)
TN,5,+216422XXXXX,mobile,Tunisie Télécom (Tunicell)
TN,10,+2168010XXXX,freephone,Tunisie Télécom
TN,3,+2163140XXXX,wirelessgeographic,Orange Tunisie
TN,5,+216423XXXXX,mobile,Tunisie Télécom (Tunicell)
TN,6,+216424XXXXX,mobile,Tunisie Télécom (Tunicell)
TN,6,+216425XXXXX,mobile,Tunisie Télécom (Tunicell)
TN,6,+216426XXXXX,mobile,Tunisie Télécom (Tunicell)
TN,6,+2164300XXXX,mobile,LycaMobile
TN,6,+21644XXXXXX,mobile,Tunisie Télécom (Tunicell)
TN,6,+2164500XXXX,mobile,Watany Ettisalat
TN,6,+2164600XXXX,mobile,ooredoo Tunisiana
TN,6,+21650XXXXXX,mobile,Orange Tunisie
TN,6,+21651XXXXXX,mobile,Orange Tunisie
TN,10,+21681XXXXXX,sharedcost,Tunisie Télécom
TN,8,+21672XXXXXX,geographic,Tunisie Télécom
TN,6,+21652XXXXXX,mobile,Orange Tunisie
TN,7,+21653XXXXXX,mobile,Orange Tunisie
TN,7,+21654XXXXXX,mobile,Orange Tunisie
TN,7,+21655XXXXXX,mobile,Orange Tunisie
TN,7,+2165600XXXX,mobile,Orange Tunisie
TN,7,+21658XXXXXX,mobile,Orange Tunisie
TN,11,+21690XXXXXX,mobile,Tunisie Télécom (Tunicell)
TN,11,+21691XXXXXX,mobile,Tunisie Télécom (Tunicell)
TN,11,+21692XXXXXX,mobile,Tunisie Télécom (Tunicell)
TN,11,+21693XXXXXX,mobile,Tunisie Télécom (Tunicell)
TN,11,+21694XXXXXX,mobile,Tunisie Télécom (Tunicell)
TN,3,+216315XXXXX,wirelessgeographic,Orange Tunisie
TN,11,+21695XXXXXX,mobile,Tunisie Télécom (Tunicell)
TN,11,+21696XXXXXX,mobile,Tunisie Télécom (Tunicell)
