Country,Page,Range,Type,Provider
TR,11,90506XXXXXXX,mobile,
TR,1,90,proper,
TR,9,905010XXXXXX,mobile,Avea Iletişim Hizmetleri AŞ
TR,9,905011XXXXXX,mobile,Avea Iletişim Hizmetleri AŞ
TR,9,905012XXXXXX,mobile,Avea Iletişim Hizmetleri AŞ
TR,9,905013XXXXXX,mobile,Avea Iletişim Hizmetleri AŞ
TR,9,905014XXXXXX,mobile,Avea Iletişim Hizmetleri AŞ
TR,10,905015XXXXXX,mobile,Avea Iletişim Hizmetleri AŞ
TR,10,905016XXXXXX,mobile,Avea Iletişim Hizmetleri AŞ
TR,10,905017XXXXXX,mobile,Avea Iletişim Hizmetleri AŞ
TR,10,905018XXXXXX,mobile,Avea Iletişim Hizmetleri AŞ
TR,10,905019XXXXXX,mobile,Avea Iletişim Hizmetleri AŞ
TR,10,905050XXXXXX,mobile,Avea Iletişim Hizmetleri AŞ
TR,10,905051XXXXXX,mobile,Avea Iletişim Hizmetleri AŞ
TR,1,90212XXXXXXX,geographic,
TR,10,905052XXXXXX,mobile,Avea Iletişim Hizmetleri AŞ
TR,10,905053XXXXXX,mobile,Avea Iletişim Hizmetleri AŞ
TR,11,905054XXXXXX,mobile,Avea Iletişim Hizmetleri AŞ
TR,11,905055XXXXXX,mobile,Avea Iletişim Hizmetleri AŞ
TR,11,905056XXXXXX,mobile,Avea Iletişim Hizmetleri AŞ
TR,11,905057XXXXXX,mobile,Avea Iletişim Hizmetleri AŞ
TR,11,905058XXXXXX,mobile,Avea Iletişim Hizmetleri AŞ
TR,11,905059XXXXXX,mobile,Avea Iletişim Hizmetleri AŞ
TR,11,905060XXXXXX,mobile,Avea Iletişim Hizmetleri AŞ
TR,11,905061XXXXXX,mobile,Avea Iletişim Hizmetleri AŞ
TR,11,905062XXXXXX,mobile,Avea Iletişim Hizmetleri AŞ
TR,12,905063XXXXXX,mobile,Avea Iletişim Hizmetleri AŞ
TR,1,90216XXXXXXX,geographic,
TR,12,905064XXXXXX,mobile,Avea Iletişim Hizmetleri AŞ
TR,12,905065XXXXXX,mobile,Avea Iletişim Hizmetleri AŞ
TR,12,905066XXXXXX,mobile,Avea Iletişim Hizmetleri AŞ
TR,12,905067XXXXXX,mobile,Avea Iletişim Hizmetleri AŞ
TR,12,905068XXXXXX,mobile,Avea Iletişim Hizmetleri AŞ
TR,12,905069XXXXXX,mobile,Avea Iletişim Hizmetleri AŞ
TR,12,905070XXXXXX,mobile,Avea Iletişim Hizmetleri AŞ
