Country,Page,Range,Type,Provider
TT,21,+1868632XXXX,geographic,Telecommunications Services of Trinidad and Tobago (TSTT)
TT,4,+1868280XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,4,+1868281XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,4,+1868282XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,4,+1868283XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,4,+1868284XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,4,+1868285XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,4,+1868286XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,5,+1868287XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,5,+1868288XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,21,+1868633XXXX,geographic,Telecommunications Services of Trinidad and Tobago (TSTT)
TT,5,+1868289XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,5,+1868289XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,5,+1868290XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,5,+1868291XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,5,+1868292XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,5,+1868293XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,25,+1868675XXXX,geographic,Telecommunications Services of Trinidad and Tobago (TSTT)
TT,5,+1868294XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,5,+1868295XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,6,+1868296XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,22,+1868643XXXX,geographic,Telecommunications Services of Trinidad and Tobago (TSTT)
TT,6,+1868297XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,6,+1868298XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,22,+1868644XXXX,geographic,Telecommunications Services of Trinidad and Tobago (TSTT)
TT,6,+1868299XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,6,+1868301XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,25,+1868676XXXX,geographic,Telecommunications Services of Trinidad and Tobago (TSTT)
TT,6,+1868302XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,27,+1868695XXXX,geographic,Telecommunications Services of Trinidad and Tobago (TSTT)
TT,6,+1868303XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,6,+1868304XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,6,+1868305XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,6,+1868306XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,7,+1868307XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,2,+1868226XXXX,geographic,Columbus Communications Trinidad Ltd
TT,7,+1868308XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,7,+1868309XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,20,+1868622XXXX,geographic,Telecommunications Services of Trinidad and Tobago (TSTT)
TT,7,+1868310XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,7,+1868312XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,7,+1868313XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,25,+1868677XXXX,geographic,Telecommunications Services of Trinidad and Tobago (TSTT)
TT,27,+1868696XXXX,geographic,Telecommunications Services of Trinidad and Tobago (TSTT)
TT,7,+1868314XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,7,+1868315XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,7,+1868316XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,7,+1868317XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,8,+1868318XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,8,+1868319XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,8,+1868320XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,8,+1868321XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,23,+1868653XXXX,geographic,Telecommunications Services of Trinidad and Tobago (TSTT)
TT,8,+1868322XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,8,+1868323XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,21,+1868634XXXX,geographic,Telecommunications Services of Trinidad and Tobago (TSTT)
TT,8,+1868324XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,27,+1868697XXXX,geographic,Telecommunications Services of Trinidad and Tobago (TSTT)
TT,22,+1868645XXXX,geographic,Telecommunications Services of Trinidad and Tobago (TSTT)
TT,8,+1868325XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,8,+1868326XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,8,+1868327XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,9,+1868328XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,9,+1868329XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,9,+1868330XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,9,+1868331XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,25,+1868679XXXX,geographic,Telecommunications Services of Trinidad and Tobago (TSTT)
TT,23,+1868654XXXX,geographic,Telecommunications Services of Trinidad and Tobago (TSTT)
TT,2,+1868227XXXX,geographic,Columbus Communications Trinidad Ltd
TT,9,+1868332XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,9,+1868333XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,9,+1868334XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,9,+1868335XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,9,+1868336XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,9,+1868337XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,10,+1868338XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,10,+1868339XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,20,+1868623XXXX,geographic,Telecommunications Services of Trinidad and Tobago (TSTT)
TT,10,+1868340XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,10,+1868341XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,23,+1868655XXXX,geographic,Telecommunications Services of Trinidad and Tobago (TSTT)
TT,27,+1868698XXXX,geographic,Telecommunications Services of Trinidad and Tobago (TSTT)
TT,4,+1868277XXXX,geographic,Digicel Trinidad and Tobago Ltd
TT,21,+1868635XXXX,geographic,Telecommunications Services of Trinidad and Tobago (TSTT)
TT,10,+1868342XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,24,+1868664XXXX,geographic,Telecommunications Services of Trinidad and Tobago (TSTT)
TT,10,+1868343XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,2,+1868228XXXX,geographic,Columbus Communications Trinidad Ltd
TT,10,+1868344XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,10,+1868345XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,10,+1868346XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,10,+1868347XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,20,+1868624XXXX,geographic,Telecommunications Services of Trinidad and Tobago (TSTT)
TT,11,+1868348XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,22,+1868646XXXX,geographic,Telecommunications Services of Trinidad and Tobago (TSTT)
TT,11,+1868349XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,2,+1868229XXXX,geographic,Columbus Communications Trinidad Ltd
TT,1,1,proper,
TT,19,+1868607XXXX,geographic,Lisa Communications Ltd
TT,20,+1868625XXXX,geographic,Telecommunications Services of Trinidad and Tobago (TSTT)
TT,22,+1868647XXXX,geographic,Telecommunications Services of Trinidad and Tobago (TSTT)
TT,11,+1868350XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,11,+1868351XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,11,+1868352XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,11,+1868353XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,2,+1868230XXXX,geographic,Digicel Trinidad and Tobago Ltd
TT,11,+1868354XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,1,+1868XXXXXXX,geographic,
TT,11,+1868355XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,11,+1868356XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,11,+1868357XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,12,+1868358XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,12,+1868359XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,21,+1868636XXXX,geographic,Telecommunications Services of Trinidad and Tobago (TSTT)
TT,12,+1868360XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,19,+1868608XXXX,geographic,Air Link Communications Ltd
TT,12,+1868361XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,4,+1868278XXXX,geographic,Digicel Trinidad and Tobago Ltd
TT,12,+1868362XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,20,+1868626XXXX,geographic,Telecommunications Services of Trinidad and Tobago (TSTT)
TT,2,+1868231XXXX,geographic,Digicel Trinidad and Tobago Ltd
TT,12,+1868363XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,12,+1868364XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,26,+1868687XXXX,voicemail(mobile),Telecommunications Services of Trinidad and Tobago (TSTT)
TT,23,+1868656XXXX,geographic,Telecommunications Services of Trinidad and Tobago (TSTT)
TT,12,+1868365XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,12,+1868366XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,12,+1868367XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,24,+1868665XXXX,geographic,Telecommunications Services of Trinidad and Tobago (TSTT)
TT,37,+1868828XXXX,geographic,Telecommunications Services of Trinidad and Tobago (TSTT)
TT,13,+1868368XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,1,+1868201XXXX,geographic,Open Telecom Ltd
TT,21,+1868637XXXX,geographic,Telecommunications Services of Trinidad and Tobago (TSTT)
TT,13,+1868369XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,13,+1868370XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,19,+1868614XXXX,geographic,Telecommunications Services of Trinidad and Tobago (TSTT)
TT,4,+1868279XXXX,geographic,Digicel Trinidad and Tobago Ltd
TT,13,+1868371XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,13,+1868372XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,13,+1868373XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,13,+1868374XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,13,+1868375XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,20,+1868627XXXX,geographic,Telecommunications Services of Trinidad and Tobago (TSTT)
TT,13,+1868376XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,13,+1868377XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,14,+1868378XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,23,+1868657XXXX,geographic,Telecommunications Services of Trinidad and Tobago (TSTT)
TT,14,+1868379XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,14,+1868380XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,14,+1868381XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,2,+1868232XXXX,geographic,Columbus Communications Trinidad Ltd
TT,14,+1868382XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,14,+1868383XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,14,+1868384XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,21,+1868638XXXX,geographic,Telecommunications Services of Trinidad and Tobago (TSTT)
TT,20,+1868628XXXX,geographic,Telecommunications Services of Trinidad and Tobago (TSTT)
TT,14,+1868385XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,23,+1868658XXXX,geographic,Telecommunications Services of Trinidad and Tobago (TSTT)
TT,19,+1868615XXXX,geographic,Telecommunications Services of Trinidad and Tobago (TSTT)
TT,1,+1868218XXXX,geographic,Columbus Communications Trinidad Ltd
TT,14,+1868386XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,14,+1868387XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,15,+1868388XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,37,+1868829XXXX,geographic,Telecommunications Services of Trinidad and Tobago (TSTT)
TT,22,+1868648XXXX,geographic,Telecommunications Services of Trinidad and Tobago (TSTT)
TT,15,+1868389XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,2,+1868233XXXX,geographic,Columbus Communications Trinidad Ltd
TT,15,+1868390XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,15,+1868391XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,15,+1868392XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,15,+1868393XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,24,+1868667XXXX,geographic,Telecommunications Services of Trinidad and Tobago (TSTT)
TT,15,+1868394XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,15,+1868395XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,15,+1868396XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,15,+1868397XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,16,+1868398XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,16,+1868399XXXX,mobile,Digicel Trinidad and Tobago Ltd
TT,16,+1868401XXXX,mobile,LaqTel Ltd
TT,16,+1868402XXXX,mobile,LaqTel Ltd
TT,20,+1868629XXXX,geographic,Telecommunications Services of Trinidad and Tobago (TSTT)
TT,16,+1868403XXXX,mobile,LaqTel Ltd
TT,16,+1868404XXXX,mobile,LaqTel Ltd
TT,21,+1868639XXXX,geographic,Telecommunications Services of Trinidad and Tobago (TSTT)
TT,16,+1868405XXXX,mobile,LaqTel Ltd
TT,1,+1868219XXXX,geographic,Columbus Communications Trinidad Ltd
TT,16,+1868406XXXX,mobile,LaqTel Ltd
TT,16,+1868407XXXX,mobile,LaqTel Ltd
TT,16,+1868408XXXX,mobile,LaqTel Ltd
TT,17,+1868409XXXX,mobile,LaqTel Ltd
TT,17,+1868410XXXX,mobile,LaqTel Ltd
TT,17,+1868412XXXX,mobile,LaqTel Ltd
TT,17,+1868413XXXX,mobile,LaqTel Ltd
TT,19,+1868616XXXX,geographic,Telecommunications Services of Trinidad and Tobago (TSTT)
TT,17,+1868414XXXX,mobile,LaqTel Ltd
TT,37,+1868830XXXX,geographic,Telecommunications Services of Trinidad and Tobago (TSTT)
TT,1,+1868220XXXX,geographic,Columbus Communications Trinidad Ltd
TT,17,+1868415XXXX,mobile,LaqTel Ltd
TT,17,+1868416XXXX,mobile,LaqTel Ltd
TT,20,+1868630XXXX,geographic,Telecommunications Services of Trinidad and Tobago (TSTT)
TT,17,+1868417XXXX,mobile,LaqTel Ltd
TT,17,+1868418XXXX,mobile,LaqTel Ltd
TT,17,+1868419XXXX,mobile,LaqTel Ltd
TT,21,+1868640XXXX,geographic,Telecommunications Services of Trinidad and Tobago (TSTT)
TT,18,+1868420XXXX,mobile,LaqTel Ltd
TT,18,+1868421XXXX,mobile,LaqTel Ltd
TT,18,+1868490XXXX,mobile,Telecommunications Services of Trinidad and Tobago (TSTT)
TT,18,+1868491XXXX,mobile,Telecommunications Services of Trinidad and Tobago (TSTT)
TT,26,+1868690XXXX,geographic,Telecommunications Services of Trinidad and Tobago (TSTT)
TT,18,+1868492XXXX,mobile,Telecommunications Services of Trinidad and Tobago (TSTT)
TT,19,+1868619XXXX,internetserviceprovider,Telecommunications Services of Trinidad and Tobago (TSTT)
TT,18,+1868493XXXX,mobile,Telecommunications Services of Trinidad and Tobago (TSTT)
TT,18,+1868494XXXX,mobile,Telecommunications Services of Trinidad and Tobago (TSTT)
TT,36,+1868820XXXX,geographic,Telecommunications Services of Trinidad and Tobago (TSTT)
TT,18,+1868495XXXX,mobile,Telecommunications Services of Trinidad and Tobago (TSTT)
TT,18,+1868496XXXX,mobile,Telecommunications Services of Trinidad and Tobago (TSTT)
TT,18,+1868497XXXX,mobile,Telecommunications Services of Trinidad and Tobago (TSTT)
TT,19,+1868498XXXX,mobile,Telecommunications Services of Trinidad and Tobago (TSTT)
