Country,Page,Range,Type,Provider
TW,6,+88647XXXXXX,geographic,
TW,16,+88698XXXXXX(X),mobile,
TW,3,+88633XXXXXX,geographic,
TW,4,+88639XXXXXX,geographic,
TW,6,+88648XXXXXX,geographic,
TW,1,+8866XXXXXXXXX,geographic,
TW,11,+88692XXXXXX(X),mobile,
TW,14,+886944XXXXX,pager,
TW,5,+88644XXXXXX,geographic,
TW,16,+88699XXXXXX,universalaccess,
TW,3,+88634XXXXXX,geographic,
TW,6,+88648XXXXXX,geographic,
TW,14,+886945XXXXX,pager,
TW,2,+8862XXXXXXXX,geographic,
TW,3,+88635XXXXXX,geographic,
TW,1,886,proper,
TW,4,+88639XXXXXX,geographic,
TW,2,+88622XXXXXXX,geographic,
TW,7,+8865XXXXXXX,geographic,
TW,10,+886827XXXXX,geographic,
TW,14,+886946XXXXX,pager,
TW,5,+88645XXXXXX,geographic,
TW,13,+88694XXXXXX,pager,
TW,4,+88639XXXXXX,geographic,
TW,3,+88635XXXXXX,geographic,
TW,6,+88648XXXXXX,geographic,
TW,10,+886827XXXXX,geographic,
TW,1,+8861XXXXXXXX,geographic,
TW,8,+8866XXXXXXX,geographic,
TW,9,+8867XXXXXXX,geographic,
TW,3,+88636XXXXXX,geographic,
TW,10,+88688XXXXXX,geographic,
TW,2,+88622XXXXXXX,geographic,
TW,1,+88618XXXXXX,freephone,
TW,5,+88645XXXXXX,geographic,
TW,6,+88648XXXXXX,geographic,
TW,12,+88693XXXXXX(X),mobile,
TW,14,+886947XXXXX,pager,
TW,3,+88636XXXXXX,geographic,
TW,6,+88649XXXXXX,geographic,
TW,5,+88645XXXXXX,geographic,
TW,7,+8865XXXXXXX,geographic,
TW,2,+88622XXXXXXX,geographic,
TW,1,+8862XXXXXXXX,geographic,
TW,4,+8864XXXXXXX,geographic,
TW,8,+88660XXXXXX,pager,
TW,9,+8867XXXXXXX,geographic,
TW,6,+88649XXXXXX,geographic,
TW,13,+886940XXXXX,pager,
TW,3,+88636XXXXXX,geographic,
TW,10,+886910XXXXX(X),mobile,Chunghwa Telecom LDM
