Country,Page,Range,Type,Provider
TW,12,886930XXXXXX,mobile,Far EasTone
TW,12,886932XXXXXX,mobile,Chunghwa Telecom LDM
TW,12,886931XXXXXX,mobile,Far EasTone
TW,12,886933XXXXXX,mobile,Chunghwa Telecom LDM
TW,13,886936XXXXXX,mobile,Far EasTone
TW,13,886935XXXXXX,mobile,Taiwan Cellular Corporation
TW,13,886938XXXXXX,mobile,KG Telecom
TW,13,886937XXXXXX,mobile,Chunghwa Telecom LDM
TW,13,886939XXXXXX,mobile,Taiwan Cellular Corporation
TW,11,886921XXXXXX,mobile,Chunghwa Telecom LDM
TW,11,886920XXXXXX,mobile,Taiwan Cellular Corporation
TW,11,886923XXXXXX,mobile,Mobitai
TW,11,886922XXXXXX,mobile,Taiwan Cellular Corporation
TW,12,886925XXXXXX,mobile,KG Telecom
TW,12,886927XXXXXX,mobile,KG Telecom
TW,12,886926XXXXXX,mobile,Far EasTone
TW,12,886929XXXXXX,mobile,TransAsia
TW,12,886928XXXXXX,mobile,Chunghwa Telecom LDM
TW,10,886910XXXXXX,mobile,Chunghwa Telecom LDM
TW,10,886912XXXXXX,mobile,Chunghwa Telecom LDM
TW,10,886911XXXXXX,mobile,Chunghwa Telecom LDM (AMP)
TW,10,886913XXXXXX,mobile,KG Telecom
TW,11,886916XXXXXX,mobile,Far EasTone
TW,11,886915XXXXXX,mobile,KG Telecom
TW,11,886918XXXXXX,mobile,Taiwan Cellular Corporation
TW,11,886917XXXXXX,mobile,Far EasTone
TW,11,886919XXXXXX,mobile,Chunghwa Telecom LDM
TW,16,886970XXXXXX,mobile,Taiwan Mobile Co. Ltd
TW,15,886962XXXXXX,mobile,CT2
TW,15,886965XXXXXX,mobile,CT2
TW,15,886967XXXXXX,mobile,CT2
TW,15,886969XXXXXX,mobile,CT2
TW,15,886968XXXXXX,mobile,CT2
TW,14,886952XXXXXX,mobile,Taiwan Cellular Corporation
TW,14,886953XXXXXX,mobile,Taiwan Cellular Corporation
TW,15,886956XXXXXX,mobile,TransAsia
TW,15,886955XXXXXX,mobile,Far EasTone
TW,15,886958XXXXXX,mobile,Taiwan Cellular Corporation
