Country,Page,Range,Type,Provider
TZ,82,25579XXXXXXX,mobile,Benson Informatics Tanzania Ltd
TZ,82,25578XXXXXXX,mobile,Airtel Tanzania Ltd (formerly Zain)
TZ,81,25571XXXXXXX,mobile,MIC Tanzania Ltd (Tigo)
TZ,81,25573XXXXXXX,mobile,Tanzania Telecommunications Company Ltd
TZ,82,25575XXXXXXX,mobile,Vodacom Tanzania Ltd
TZ,82,25574XXXXXXX,mobile,Vodacom Tanzania Ltd
TZ,82,25577XXXXXXX,mobile,Zanzibar Telecom Ltd (Zantel)
TZ,82,25576XXXXXXX,mobile,Vodacom Tanzania Ltd
TZ,81,25568XXXXXXX,mobile,Airtel Tanzania Ltd (formerly Zain)
TZ,81,25567XXXXXXX,mobile,MIC Tanzania Ltd (Tigo)
TZ,81,25562XXXXXXX,mobile,Viettel (T) Ltd
TZ,81,25566XXXXXXX,mobile,SMILE Communications Ltd
TZ,81,25565XXXXXXX,mobile,MIC Tanzania Ltd (Tigo)
