Country,Page,Range,Type,Provider
UA,100,+3806462XXXXX,geographic,
UA,100,+3806462XXXXX,geographic,
UA,101,+3806473XXXXX,geographic,
UA,100,+3806463XXXXX,geographic,
UA,103,+380654XXXXXX,geographic,
UA,101,+3806473XXXXX,geographic,
UA,107,+3806565XXXXX,geographic,
UA,103,+380654XXXXXX,geographic,
UA,101,+3806474XXXXX,geographic,
UA,103,+380654XXXXXX,geographic,
UA,107,+3806565XXXXX,geographic,
UA,100,+3806463XXXXX,geographic,
UA,15,+3803434XXXXX,geographic,
UA,13,+3803374XXXXX,geographic,
UA,106,+3806560XXXXX,geographic,
UA,103,+380654XXXXXX,geographic,
UA,11,+380332XXXXXX,geographic,
UA,107,+3806566XXXXX,geographic,
UA,106,+3806560XXXXX,geographic,
UA,13,+3803376XXXXX,geographic,
UA,101,+38065XXXXXXX,geographic,
UA,29,+38039XXXXXXX,mobile,Golden Telecom
UA,11,+3803322XXXXX,geographic,
UA,15,+38034342XXXX,geographic,
UA,107,+3806566XXXXX,geographic,
UA,106,+3806561XXXXX,geographic,
UA,101,+380652XXXXXX,geographic,
UA,56,+38050XXXXXXX,mobile,PrJSC VF Ukraine
UA,11,+3803342XXXXX,geographic,
UA,103,+380654XXXXXX,geographic,
UA,104,+380654XXXXXX,geographic,
UA,100,+3806464XXXXX,geographic,
UA,13,+3803376XXXXX,geographic,
UA,101,+380652XXXXXX,geographic,
UA,97,+38063XXXXXXX,mobile,life:)
UA,107,+3806566XXXXX,geographic,
UA,107,+38066XXXXXXX,mobile,PrJSC VF Ukraine
UA,100,+3806465XXXXX,geographic,
UA,11,+3803342XXXXX,geographic,
UA,108,+38069XXXXXXX,geographic,
UA,106,+3806562XXXXX,geographic,
UA,104,+380654XXXXXX,geographic,
UA,101,+380652XXXXXX,geographic,
UA,13,+3803377XXXXX,geographic,
UA,103,+380654XXXXXX,geographic,
UA,10,+3803264XXXXX,geographic,
UA,15,+3803435XXXXX,geographic,
UA,18,+380352XXXXXX,geographic,
UA,108,+38067XXXXXXX,mobile,Kyivstar
UA,11,+3803344XXXXX,geographic,
UA,13,+3803377XXXXX,geographic,
UA,101,+380652XXXXXX,geographic,
UA,105,+3806554XXXXX,geographic,
UA,106,+3806562XXXXX,geographic,
UA,12,+3803362XXXXX,geographic,
UA,100,+3806471XXXXX,geographic,
UA,107,+3806566XXXXX,geographic,
UA,1,380,proper,
UA,108,+38068XXXXXXX,mobile,Beeline
UA,108,+38073XXXXXXX,mobile,life:)
UA,10,+3803264XXXXX,geographic,
UA,21,+3803557XXXXX,geographic,
UA,102,+380654XXXXXX,geographic,
UA,14,+380342XXXXXX,geographic,
UA,106,+3806562XXXXX,geographic,
UA,101,+380652XXXXXX,geographic,
UA,104,+3806550XXXXX,geographic,
UA,100,+3806471XXXXX,geographic,
UA,1,+380312XXXXXX,geographic,
UA,18,+3803540XXXXX,geographic,
UA,13,+3803379XXXXX,geographic,
UA,108,+380891XXXXXX,mobile,Datagroup
UA,15,+3803435XXXXX,geographic,
