Country,Page,Range,Type,Provider
UA,109,380899XXXXXX,mobile,Velton Telecom Ltd
UA,109,380897XXXXXX,mobile,Kyivstar JSC
UA,109,380895XXXXXX,mobile,Lincom-300 Ltd
UA,108,380893XXXXXX,mobile,T.R. Communicatio Ltd
UA,109,380894XXXXXX,mobile,Atlantic Telecom Ltd
UA,108,380891XXXXXX,mobile,Datagroup
UA,108,380892XXXXXX,mobile,Ukrtelecom JSC
UA,56,38050XXXXXXX,mobile,PrJSC VF Ukraine
UA,109,38092XXXXXXX,mobile,Telesystems (CDMA)
UA,109,38091XXXXXXX,mobile,Utel
UA,109,38094XXXXXXX,mobile,International Telecommunication (CDMA800)
UA,109,38093XXXXXXX,mobile,life:)
UA,109,38096XXXXXXX,mobile,Kyivstar JSC
UA,109,38095XXXXXXX,mobile,PrJSC VF Ukraine
UA,110,38098XXXXXXX,mobile,Kyivstar JSC
UA,110,38097XXXXXXX,mobile,Kyivstar JSC
UA,97,38063XXXXXXX,mobile,life:)
UA,108,38067XXXXXXX,mobile,Kyivstar
UA,107,38066XXXXXXX,mobile,PrJSC VF Ukraine
UA,108,38068XXXXXXX,mobile,Beeline
UA,108,38073XXXXXXX,mobile,life:)
UA,110,38099XXXXXXX,mobile,PrJSC VF Ukraine
