Country,Page,Range,Type,Provider
UG,18,2567260XXXXX,mobile,Tangerine Ltd
UG,20,256772XXXXXX,mobile,MTN Uganda Ltd
UG,20,256773XXXXXX,mobile,MTN Uganda Ltd
UG,20,256770XXXXXX,mobile,MTN Uganda Ltd
UG,20,256771XXXXXX,mobile,MTN Uganda Ltd
UG,20,256776XXXXXX,mobile,MTN Uganda Ltd
UG,20,256777XXXXXX,mobile,MTN Uganda Ltd
UG,20,256774XXXXXX,mobile,MTN Uganda Ltd
UG,20,256775XXXXXX,mobile,MTN Uganda Ltd
UG,21,256778XXXXXX,mobile,MTN Uganda Ltd
UG,21,256779XXXXXX,mobile,MTN Uganda Ltd
UG,21,256780XXXXXX,mobile,MTN Uganda Ltd
UG,21,256783XXXXXX,mobile,MTN Uganda Ltd
UG,21,256784XXXXXX,mobile,MTN Uganda Ltd
UG,21,256781XXXXXX,mobile,MTN Uganda Ltd
UG,21,256782XXXXXX,mobile,MTN Uganda Ltd
UG,21,256787XXXXXX,mobile,MTN Uganda Ltd
UG,22,256788XXXXXX,mobile,MTN Uganda Ltd
UG,21,256785XXXXXX,mobile,MTN Uganda Ltd
UG,21,256786XXXXXX,mobile,MTN Uganda Ltd
UG,22,256789XXXXXX,mobile,MTN Uganda Ltd
UG,22,256790XXXXXX,mobile,Africell Uganda Ltd
UG,22,256791XXXXXX,mobile,Africell Uganda Ltd
UG,22,256794XXXXXX,mobile,Africell Uganda Ltd
UG,22,256792XXXXXX,mobile,Africell Uganda Ltd
UG,22,256793XXXXXX,mobile,Africell Uganda Ltd
UG,16,256700XXXXXX,mobile,Airtel Uganda Ltd
UG,16,256703XXXXXX,mobile,Airtel Uganda Ltd
UG,16,256704XXXXXX,mobile,Airtel Uganda Ltd
UG,16,256701XXXXXX,mobile,Airtel Uganda Ltd
UG,16,256702XXXXXX,mobile,Airtel Uganda Ltd
UG,16,256705XXXXXX,mobile,Airtel Uganda Ltd
UG,16,256706XXXXXX,mobile,Airtel Uganda Ltd
UG,16,256710XXXXXX,mobile,Uganda Telecom Ltd
UG,17,256711XXXXXX,mobile,Uganda Telecom Ltd
UG,17,256714XXXXXX,mobile,Uganda Telecom Ltd
UG,17,256715XXXXXX,mobile,Uganda Telecom Ltd
UG,17,256712XXXXXX,mobile,Uganda Telecom Ltd
UG,17,256713XXXXXX,mobile,Uganda Telecom Ltd
UG,17,256718XXXXXX,mobile,Uganda Telecom Ltd
UG,17,256719XXXXXX,mobile,Uganda Telecom Ltd
UG,17,256716XXXXXX,mobile,Uganda Telecom Ltd
UG,17,256717XXXXXX,mobile,Uganda Telecom Ltd
UG,17,256720XXXXXX,mobile,Smile Communications Uganda Ltd
UG,18,256723XXXXXX,mobile,Afrimax Uganda Ltd
UG,18,256730XXXXXX,mobile,K2 Telecom Ltd
UG,18,256740XXXXXX,mobile,Suretelecom Uganda Ltd
UG,19,256743XXXXXX,mobile,Suretelecom Uganda Ltd
UG,19,256744XXXXXX,mobile,Suretelecom Uganda Ltd
UG,18,256741XXXXXX,mobile,Suretelecom Uganda Ltd
UG,18,256742XXXXXX,mobile,Suretelecom Uganda Ltd
UG,19,256750XXXXXX,mobile,Airtel Uganda Ltd (Celtel)
UG,19,256751XXXXXX,mobile,Airtel Uganda Ltd (Celtel)
UG,19,256754XXXXXX,mobile,Airtel Uganda Ltd (Celtel)
UG,19,256755XXXXXX,mobile,Airtel Uganda Ltd (Celtel)
UG,19,256752XXXXXX,mobile,Airtel Uganda Ltd (Celtel)
UG,19,256753XXXXXX,mobile,Airtel Uganda Ltd (Celtel)
UG,20,256758XXXXXX,mobile,Airtel Uganda Ltd (Celtel)
UG,20,256759XXXXXX,mobile,Airtel Uganda Ltd (Celtel)
UG,19,256756XXXXXX,mobile,Airtel Uganda Ltd (Celtel)
UG,19,256757XXXXXX,mobile,Airtel Uganda Ltd (Celtel)
