Country,Page,Range,Type,Provider
UY,11,598437XXXXX,geographic,
UY,17,5984538XXXX,geographic,
UY,10,598437XXXXX,geographic,
UY,13,598443XXXXX,geographic,
UY,11,598437XXXXX,geographic,
UY,11,598437XXXXX,geographic,
UY,11,598437XXXXX,geographic,
UY,17,5984538XXXX,geographic,
UY,11,598437XXXXX,geographic,
UY,17,5984539XXXX,geographic,
UY,17,5984542XXXX,geographic,
UY,10,598437XXXXX,geographic,
UY,13,598443XXXXX,geographic,
UY,5,5984312XXXX,geographic,
UY,3,5982XXXXXXX,geographic,
UY,12,5984412XXXX,geographic,
UY,5,5984313XXXX,geographic,
UY,2,5982XXXXXXX,geographic,
UY,22,598800XXXXX,freephone,
UY,14,5984455XXXX,geographic,
UY,12,5984413XXXX,geographic,
UY,13,598443XXXXX,geographic,
UY,22,598805XXXXX,sharedcost,
UY,5,5984313XXXX,geographic,
UY,2,5982XXXXXXX,geographic,
UY,11,5984379XXXX,geographic,
UY,14,5984456XXXX,geographic,
UY,15,5984469XXXX,geographic,
UY,16,5984479XXXX,geographic,
UY,17,5984542XXXX,geographic,
UY,12,5984415XXXX,geographic,
UY,19,5984576XXXX,geographic,
UY,10,598437XXXXX,geographic,
UY,12,598443XXXXX,geographic,
UY,16,5984486XXXX,geographic,
UY,17,5984542XXXX,geographic,
UY,3,59821XXXXXX,geographic,
UY,10,598437XXXXX,geographic,
UY,19,5984577XXXX,geographic,
UY,12,598443XXXXX,geographic,
UY,2,5982XXXXXXX,geographic,
UY,13,598443XXXXX,geographic,
UY,3,59822XXXXXX,geographic,
UY,14,5984457XXXX,geographic,
UY,11,598438XXXXX,geographic,
UY,17,5984544XXXX,geographic,
UY,10,598437XXXXX,geographic,
UY,2,5982XXXXXXX,geographic,
UY,22,598900XXXXX,premiumrate,
UY,13,598444XXXXX,geographic,
UY,16,598452XXXXX,geographic,
UY,8,5984345XXXX,geographic,
UY,15,598447XXXXX,geographic,
UY,5,5984313XXXX,geographic,
UY,19,5984586XXXX,geographic,
UY,23,598908XXXXX,premiumrate,
UY,17,598455XXXXX,geographic,
UY,12,598443XXXXX,geographic,
UY,11,5984390XXXX,geographic,
UY,3,59823XXXXXX,geographic,
UY,10,598437XXXXX,geographic,
UY,17,598455XXXXX,geographic,
UY,14,5984458XXXX,geographic,
UY,12,598443XXXXX,geographic,
UY,11,5984399XXXX,geographic,
UY,6,5984317XXXX,geographic,
UY,13,5984446XXXX,geographic,
UY,18,5984552XXXX,geographic,
UY,19,5984587XXXX,geographic,
UY,21,5984747XXXX,geographic,
UY,10,598437XXXXX,geographic,
UY,16,598452XXXXX,geographic,
UY,1,598,proper,
UY,14,5984459XXXX,geographic,
UY,12,598443XXXXX,geographic,
UY,5,5984313XXXX,geographic,
UY,3,59824XXXXXX,geographic,
UY,2,5982XXXXXXX,geographic,
UY,19,5984588XXXX,geographic,
UY,22,598901XXXXX,premiumrate,
UY,16,598452XXXXX,geographic,
UY,8,5984345XXXX,geographic,
UY,18,5984556XXXX,geographic,
UY,13,5984446XXXX,geographic,
UY,23,598909XXXXX,internetserviceprovider,
UY,15,5984474XXXX,geographic,
UY,17,598455XXXXX,geographic,
UY,12,598443XXXXX,geographic,
UY,1,5982XXXXXXX,geographic,
UY,6,5984317XXXX,geographic,
UY,10,598437XXXXX,geographic,
UY,15,5984474XXXX,geographic,
UY,4,59842XXXXXX,geographic,
UY,5,5984313XXXX,geographic,
UY,7,5984338XXXX,geographic,
UY,3,59825XXXXXX,geographic,
UY,14,5984459XXXX,geographic,
UY,2,5982XXXXXXX,geographic,
UY,11,5984399XXXX,geographic,
UY,18,5984557XXXX,geographic,
UY,8,5984346XXXX,geographic,
UY,21,5984754XXXX,geographic,
UY,22,598902XXXXX,premiumrate,
UY,13,5984448XXXX,geographic,
UY,16,598452XXXXX,geographic,
UY,15,5984475XXXX,geographic,
UY,4,59842XXXXXX,geographic,
UY,6,5984318XXXX,geographic,
UY,5,5984315XXXX,geographic,
UY,9,5984354XXXX,geographic,
UY,12,598443XXXXX,geographic,
UY,10,598437XXXXX,geographic,
UY,14,5984463XXXX,geographic,
UY,19,598462XXXXX,geographic,
UY,8,5984346XXXX,geographic,
UY,21,5984764XXXX,geographic,
UY,2,5982XXXXXXX,geographic,
UY,13,5984449XXXX,geographic,
UY,18,5984562XXXX,geographic,
UY,7,5984338XXXX,geographic,
UY,16,598453XXXXX,geographic,
UY,4,59842XXXXXX,geographic,
UY,1,5982XXXXXXX,geographic,
UY,15,5984476XXXX,geographic,
UY,22,598903XXXXX,premiumrate,
UY,10,598437XXXXX,geographic,
UY,9,598436XXXXX,geographic,
UY,18,5984562XXXX,geographic,
UY,3,59826XXXXXX,geographic,
UY,4,59842XXXXXX,geographic,
UY,16,5984534XXXX,geographic,
UY,15,5984477XXXX,geographic,
UY,19,598463XXXXX,geographic,
UY,5,5984317XXXX,geographic,
UY,13,598445XXXXX,geographic,
UY,1,5982XXXXXXX,geographic,
UY,8,5984346XXXX,geographic,
UY,2,5982XXXXXXX,geographic,
UY,14,5984464XXXX,geographic,
UY,6,5984319XXXX,geographic,
UY,22,598904XXXXX,premiumrate,
UY,23,59891XXXXXX,mobile,Antel (Ancel)
UY,7,5984338XXXX,geographic,
UY,16,5984536XXXX,geographic,
UY,9,5984364XXXX,geographic,
UY,18,5984567XXXX,geographic,
UY,23,598920XXXXX,mobile,Telefónica Móviles (Movistar)
UY,23,598921XXXXX,mobile,Telefónica Móviles (Movistar)
UY,2,5982XXXXXXX,geographic,
UY,4,59842XXXXXX,geographic,
UY,23,598922XXXXX,mobile,Telefónica Móviles (Movistar)
UY,3,59827XXXXXX,geographic,
UY,21,5984766XXXX,geographic,
UY,8,5984348XXXX,geographic,
UY,19,598464XXXXX,geographic,
UY,23,598937XXXXX,mobile,Telefónica Móviles (Movistar)
UY,16,5984537XXXX,geographic,
UY,22,598905XXXXX,premiumrate,
UY,9,5984365XXXX,geographic,
UY,5,5984317XXXX,geographic,
UY,6,5984319XXXX,geographic,
UY,23,598938XXXXX,mobile,Telefónica Móviles (Movistar)
UY,23,598939XXXXX,mobile,Telefónica Móviles (Movistar)
UY,14,5984466XXXX,geographic,
UY,4,59842XXXXXX,geographic,
UY,23,59893XXXXXX,mobile,Telefónica Móviles (Movistar)
UY,18,5984568XXXX,geographic,
UY,24,59894XXXXXX,mobile,Telefónica Móviles (Movistar)
UY,7,5984338XXXX,geographic,
UY,2,5982XXXXXXX,geographic,
UY,24,59895XXXXXX,mobile,Telefónica Móviles (Movistar)
UY,19,5984645XXXX,geographic,
UY,21,5984772XXXX,geographic,
UY,4,5984311XXXX,geographic,
UY,24,59896XXXXXX,mobile,América Móvil Wireless Uruguay S.A.
UY,5,5984317XXXX,geographic,
UY,6,598433XXXXX,geographic,
UY,24,59897XXXXXX,mobile,América Móvil Wireless Uruguay S.A.
UY,24,59898XXXXXX,mobile,Antel (Ancel)
UY,9,5984367XXXX,geographic,
UY,1,5982XXXXXXX,geographic,
UY,18,5984569XXXX,geographic,
UY,22,598906XXXXX,premiumrate,
UY,19,5984654XXXX,geographic,
UY,7,5984339XXXX,geographic,
UY,3,59829XXXXXX,geographic,
UY,24,59899XXXXXX,mobile,Antel (Ancel)
UY,14,5984469XXXX,geographic,
UY,8,5984349XXXX,geographic,
UY,15,5984477XXXX,geographic,
UY,9,5984368XXXX,geographic,
UY,4,5984311XXXX,geographic,
UY,21,5984776XXXX,geographic,
UY,1,5982XXXXXXX,geographic,
UY,6,598433XXXXX,geographic,
UY,8,5984349XXXX,geographic,
UY,3,5984XXXXXXX,geographic,
UY,22,598907XXXXX,premiumrate,
UY,18,5984574XXXX,geographic,
