Country,Page,Range,Type,Provider
UY,23,598922XXXXX,mobile,Telefónica Móviles (Movistar)
UY,23,598920XXXXX,mobile,Telefónica Móviles (Movistar)
UY,23,598921XXXXX,mobile,Telefónica Móviles (Movistar)
UY,24,59896XXXXXX,mobile,América Móvil Wireless Uruguay S.A.
UY,24,59897XXXXXX,mobile,América Móvil Wireless Uruguay S.A.
UY,24,59894XXXXXX,mobile,Telefónica Móviles (Movistar)
UY,24,59895XXXXXX,mobile,Telefónica Móviles (Movistar)
UY,23,59893XXXXXX,mobile,Telefónica Móviles (Movistar)
UY,23,59891XXXXXX,mobile,Antel (Ancel)
UY,24,59898XXXXXX,mobile,Antel (Ancel)
UY,24,59899XXXXXX,mobile,Antel (Ancel)
