Country,Page,Range,Type,Provider
VA,1,3906698X(XXXX),geographic,
VA,1,39066980(XXXX),geographic,Telecom Italia S.P.A.
VA,1,39066981(XXXX),geographic,Telecom Italia S.P.A.
VA,2,39066989(XXXX),geographic,Telecom Italia S.P.A.
VA,1,39066982(XXXX),geographic,Telecom Italia S.P.A.
VA,1,39066983(XXXX),geographic,Telecom Italia S.P.A.
VA,1,39066984(XXXX),geographic,Telecom Italia S.P.A.
VA,1,39066985(XXXX),geographic,Telecom Italia S.P.A.
VA,1,39066986(XXXX),geographic,Telecom Italia S.P.A.
VA,1,39066987(XXXX),geographic,Telecom Italia S.P.A.
VA,1,39066988(XXXX),geographic,Telecom Italia S.P.A.
