Country,Page,Range,Type,Provider
VC,2,+1784373XXXX,geographic,Cable & Wireless Saint Vincent and Grenadines Ltd
VC,2,+1784374XXXX,geographic,Cable & Wireless Saint Vincent and Grenadines Ltd
VC,4,+1784450XXXX,geographic,Cable & Wireless Saint Vincent and Grenadines Ltd
VC,4,+1784451XXXX,geographic,Cable & Wireless Saint Vincent and Grenadines Ltd
VC,5,+1784481XXXX,geographic,Cable & Wireless Saint Vincent and Grenadines Ltd
VC,1,1,proper,
VC,4,+1784452XXXX,geographic,Cable & Wireless Saint Vincent and Grenadines Ltd
VC,1,+1784XXXXXXX,geographic,
VC,3,+1784382XXXX,geographic,Cable & Wireless Saint Vincent and Grenadines Ltd
VC,1,+1784266XXXX,geographic,Cable & Wireless Saint Vincent and Grenadines Ltd
VC,3,+1784384XXXX,geographic,Cable & Wireless Saint Vincent and Grenadines Ltd
VC,2,+1784375XXXX,geographic,Cable & Wireless Saint Vincent and Grenadines Ltd
VC,1,+1784366XXXX,geographic,Cable & Wireless Saint Vincent and Grenadines Ltd
VC,5,+1784482XXXX,geographic,Cable & Wireless Saint Vincent and Grenadines Ltd
VC,4,+1784453XXXX,geographic,Cable & Wireless Saint Vincent and Grenadines Ltd
VC,5,+1784483XXXX,geographic,Cable & Wireless Saint Vincent and Grenadines Ltd
VC,3,+1784385XXXX,geographic,Cable & Wireless Saint Vincent and Grenadines Ltd
VC,2,+1784375XXXX,geographic,Cable & Wireless Saint Vincent and Grenadines Ltd
VC,3,+1784430XXXX,mobile,Wireless Ventures Saint Vincent Ltd (Cingular / at&t)
VC,3,+1784431XXXX,mobile,Wireless Ventures Saint Vincent Ltd (Cingular / at&t)
VC,3,+1784432XXXX,mobile,Wireless Ventures Saint Vincent Ltd (Cingular / at&t)
VC,3,+1784433XXXX,mobile,Digicel Saint Vincent and Grenadines Ltd
VC,1,+1784367XXXX,geographic,Cable & Wireless Saint Vincent and Grenadines Ltd
VC,5,+1784484XXXX,geographic,Cable & Wireless Saint Vincent and Grenadines Ltd
VC,3,+1784434XXXX,mobile,Digicel Saint Vincent and Grenadines Ltd
VC,4,+1784454XXXX,mobile,Cable & Wireless Saint Vincent and Grenadines Ltd
VC,4,+1784455XXXX,mobile,Cable & Wireless Saint Vincent and Grenadines Ltd
VC,1,+1784368XXXX,geographic,Cable & Wireless Saint Vincent and Grenadines Ltd
VC,3,+1784386XXXX,geographic,Cable & Wireless Saint Vincent and Grenadines Ltd
VC,5,+1784489XXXX,mobile,Cable & Wireless Saint Vincent and Grenadines Ltd
