Country,Page,Range,Type,Provider
VI,1,1,proper,
VI,4,+1340773XXXX,geographic,Virgin Islands Tel. Corp. Dba Innovative Telephone
VI,4,+1340774XXXX,geographic,Virgin Islands Tel. Corp. Dba Innovative Telephone
VI,4,+1340775XXXX,geographic,Virgin Islands Tel. Corp. Dba Innovative Telephone
VI,3,+1340712XXXX,geographic,Virgin Islands Tel. Corp. Dba Innovative Telephone
VI,1,+1340XXXXXXX,geographic,
VI,3,+1340713XXXX,geographic,Virgin Islands Tel. Corp. Dba Innovative Telephone
VI,4,+1340776XXXX,geographic,Virgin Islands Tel. Corp. Dba Innovative Telephone
VI,1,+1340201XXXX,mobile,New Cingular Wireless Pcs#comma LLC - Ga
VI,4,+1340777XXXX,geographic,Virgin Islands Tel. Corp. Dba Innovative Telephone
VI,1,+1340226XXXX,mobile,Sprint Spectrum L.p.
VI,1,+1340227XXXX,mobile,New Cingular Wireless Pcs#comma LLC - Ga
VI,4,+1340778XXXX,geographic,Virgin Islands Tel. Corp. Dba Innovative Telephone
VI,1,+1340244XXXX,mobile,New Cingular Wireless Pcs#comma LLC - Ga
VI,1,+1340277XXXX,mobile,Sprint Spectrum L.p.
VI,3,+1340714XXXX,geographic,Virgin Islands Tel. Corp. Dba Innovative Telephone
VI,1,+1340332XXXX,mobile,Sprint Spectrum L.p.
VI,4,+1340779XXXX,geographic,Virgin Islands Tel. Corp. Dba Innovative Telephone
VI,1,+1340344XXXX,mobile,Sprint Spectrum L.p.
VI,3,+1340715XXXX,geographic,Virgin Islands Tel. Corp. Dba Innovative Telephone
VI,4,+1340884XXXX,geographic,Windkeeper Communications#comma Inc.
VI,1,+1340473XXXX,mobile,Centennial Puerto Rico Operations Corp.
VI,3,+1340718XXXX,geographic,Virgin Islands Tel. Corp. Dba Innovative Telephone
VI,2,+1340474XXXX,mobile,Centennial Puerto Rico Operations Corp.
VI,2,+1340513XXXX,mobile,New Cingular Wireless Pcs#comma LLC - Ga
VI,2,+1340514XXXX,mobile,New Cingular Wireless Pcs#comma LLC - Ga
VI,3,+1340719XXXX,geographic,Virgin Islands Tel. Corp. Dba Innovative Telephone
VI,2,+1340692XXXX,geographic,Virgin Islands Tel. Corp. Dba Innovative Telephone
VI,2,+1340626XXXX,mobile,New Cingular Wireless Pcs#comma LLC - Ga
VI,2,+1340693XXXX,geographic,Virgin Islands Tel. Corp. Dba Innovative Telephone
VI,2,+1340642XXXX,mobile,New Cingular Wireless Pcs#comma LLC - Ga
VI,3,+1340727XXXX,geographic,Vitelcom Cellular#comma Inc.
VI,2,+1340643XXXX,mobile,New Cingular Wireless Pcs#comma LLC - Ga
VI,2,+1340677XXXX,mobile,Sprint Spectrum L.p.
VI,3,+1340770XXXX,geographic,Virgin Islands Tel. Corp. Dba Innovative Telephone
VI,3,+1340771XXXX,geographic,Vitelcom Cellular#comma Inc.
VI,2,+1340690XXXX,mobile,New Cingular Wireless Pcs#comma LLC - Ga
VI,3,+1340772XXXX,geographic,Virgin Islands Tel. Corp. Dba Innovative Telephone
VI,4,+1340998XXXX,mobile,Sprint Spectrum L.p.
