Country,Page,Range,Type,Provider
VI,2,1340513XXXX,mobile,New Cingular Wireless Pcs#comma LLC - Ga
VI,2,1340514XXXX,mobile,New Cingular Wireless Pcs#comma LLC - Ga
VI,2,1340474XXXX,mobile,Centennial Puerto Rico Operations Corp.
VI,1,1340473XXXX,mobile,Centennial Puerto Rico Operations Corp.
VI,1,1340344XXXX,mobile,Sprint Spectrum L.p.
VI,1,1340332XXXX,mobile,Sprint Spectrum L.p.
VI,1,1340244XXXX,mobile,New Cingular Wireless Pcs#comma LLC - Ga
VI,1,1340227XXXX,mobile,New Cingular Wireless Pcs#comma LLC - Ga
VI,1,1340226XXXX,mobile,Sprint Spectrum L.p.
VI,1,1340201XXXX,mobile,New Cingular Wireless Pcs#comma LLC - Ga
VI,1,1340277XXXX,mobile,Sprint Spectrum L.p.
VI,4,1340998XXXX,mobile,Sprint Spectrum L.p.
VI,2,1340643XXXX,mobile,New Cingular Wireless Pcs#comma LLC - Ga
VI,2,1340642XXXX,mobile,New Cingular Wireless Pcs#comma LLC - Ga
VI,2,1340626XXXX,mobile,New Cingular Wireless Pcs#comma LLC - Ga
VI,2,1340690XXXX,mobile,New Cingular Wireless Pcs#comma LLC - Ga
VI,2,1340677XXXX,mobile,Sprint Spectrum L.p.
