Country,Page,Range,Type,Provider
VN,11,+842113XXXXXX,geographic,Vietnam Posts and Telecommunications Corporation (VNPT)
VN,11,+8421135XXXXX,geographic,Vietnam Posts and Telecommunications Corporation (VNPT)
VN,10,+8421035XXXXX,geographic,Vietnam Posts and Telecommunications Corporation (VNPT)
VN,11,+8421136XXXXX,geographic,Vietnam Posts and Telecommunications Corporation (VNPT)
VN,10,+8421036XXXXX,geographic,Vietnam Posts and Telecommunications Corporation (VNPT)
VN,12,+842122XXXXXX,geographic,EVNTelecom
VN,20,+84221XXXXXXX,geographic,
VN,14,+842143XXXXXX,geographic,Vietnam Posts and Telecommunications Corporation (VNPT)
VN,12,+842123XXXXXX,geographic,Vietnam Posts and Telecommunications Corporation (VNPT)
VN,18,+842192XXXXXX,geographic,EVNTelecom
VN,20,+842212XXXXXX,geographic,EVNTelecom
VN,15,+842152XXXXXX,geographic,EVNTelecom
VN,14,+8421435XXXXX,geographic,Vietnam Posts and Telecommunications Corporation (VNPT)
VN,11,+8421137XXXXX,geographic,Vietnam Posts and Telecommunications Corporation (VNPT)
VN,12,+8421235XXXXX,geographic,Vietnam Posts and Telecommunications Corporation (VNPT)
VN,13,+84213XXXXXXX,geographic,
VN,10,+8421037XXXXX,geographic,Vietnam Posts and Telecommunications Corporation (VNPT)
VN,20,+842213XXXXXX,geographic,Vietnam Posts and Telecommunications Corporation (VNPT)
VN,16,+8421635XXXXX,geographic,Vietnam Posts and Telecommunications Corporation (VNPT)
VN,18,+842193XXXXXX,geographic,Vietnam Posts and Telecommunications Corporation (VNPT)
VN,15,+842153XXXXXX,geographic,Vietnam Posts and Telecommunications Corporation (VNPT)
VN,14,+8421436XXXXX,geographic,Vietnam Posts and Telecommunications Corporation (VNPT)
VN,11,+8421138XXXXX,geographic,Vietnam Posts and Telecommunications Corporation (VNPT)
VN,13,+842132XXXXXX,geographic,EVNTelecom
VN,15,+842155XXXXXX,geographic,Vietnam Posts and Telecommunications Corporation (VNPT)
VN,20,+8422135XXXXX,geographic,Vietnam Posts and Telecommunications Corporation (VNPT)
VN,14,+8421437XXXXX,geographic,Vietnam Posts and Telecommunications Corporation (VNPT)
VN,16,+8421636XXXXX,geographic,Vietnam Posts and Telecommunications Corporation (VNPT)
VN,10,+8421038XXXXX,geographic,Vietnam Posts and Telecommunications Corporation (VNPT)
VN,22,+842226XXXXXX,geographic,Viettel Telecom
VN,13,+842133XXXXXX,geographic,Vietnam Posts and Telecommunications Corporation (VNPT)
VN,18,+8421935XXXXX,geographic,Vietnam Posts and Telecommunications Corporation (VNPT)
VN,20,+8422136XXXXX,geographic,Vietnam Posts and Telecommunications Corporation (VNPT)
VN,15,+842156XXXXXX,geographic,Vietnam Posts and Telecommunications Corporation (VNPT)
VN,11,+8421139XXXXX,geographic,Vietnam Posts and Telecommunications Corporation (VNPT)
VN,10,+8421039XXXXX,geographic,Vietnam Posts and Telecommunications Corporation (VNPT)
VN,16,+8421637XXXXX,geographic,Vietnam Posts and Telecommunications Corporation (VNPT)
VN,22,+8422262XXXXX,geographic,Viettel Telecom
VN,18,+8421936XXXXX,geographic,Vietnam Posts and Telecommunications Corporation (VNPT)
VN,17,+842183XXXXXX,geographic,Vietnam Posts and Telecommunications Corporation (VNPT)
VN,10,+842104XXXXXX,geographic,Vietnam Multimedia Corporation (VTC)
VN,14,+8421438XXXXX,geographic,Vietnam Posts and Telecommunications Corporation (VNPT)
VN,20,+8422137XXXXX,geographic,Vietnam Posts and Telecommunications Corporation (VNPT)
VN,12,+8421236XXXXX,geographic,Vietnam Posts and Telecommunications Corporation (VNPT)
VN,11,+842114XXXXXX,geographic,Vietnam Multimedia Corporation (VTC)
VN,16,+8421638XXXXX,geographic,Vietnam Posts and Telecommunications Corporation (VNPT)
VN,15,+842157XXXXXX,geographic,Vietnam Posts and Telecommunications Corporation (VNPT)
VN,13,+842135XXXXXX,geographic,Vietnam Posts and Telecommunications Corporation (VNPT)
VN,19,+842202XXXXXX,geographic,EVNTelecom
VN,17,+8421835XXXXX,geographic,Vietnam Posts and Telecommunications Corporation (VNPT)
VN,20,+8422138XXXXX,geographic,Vietnam Posts and Telecommunications Corporation (VNPT)
VN,11,+842116XXXXXX,geographic,Viettel Telecom
VN,14,+8421439XXXXX,geographic,Vietnam Posts and Telecommunications Corporation (VNPT)
VN,10,+842106XXXXXX,geographic,Viettel Telecom
VN,26,+8422837XXXXX,geographic,Vietnam Posts and Telecommunications Corporation (VNPT)
VN,16,+8421639XXXXX,geographic,Vietnam Posts and Telecommunications Corporation (VNPT)
VN,12,+8421237XXXXX,geographic,Vietnam Posts and Telecommunications Corporation (VNPT)
VN,22,+84225XXXXXXXX,geographic,
VN,18,+8421937XXXXX,geographic,Vietnam Posts and Telecommunications Corporation (VNPT)
VN,17,+8421836XXXXX,geographic,Vietnam Posts and Telecommunications Corporation (VNPT)
VN,13,+842136XXXXXX,geographic,Vietnam Posts and Telecommunications Corporation (VNPT)
VN,15,+842158XXXXXX,geographic,Vietnam Posts and Telecommunications Corporation (VNPT)
VN,14,+842144XXXXXX,geographic,Vietnam Multimedia Corporation (VTC)
VN,20,+8422139XXXXX,geographic,Vietnam Posts and Telecommunications Corporation (VNPT)
VN,19,+842203XXXXXX,geographic,Vietnam Posts and Telecommunications Corporation (VNPT)
VN,26,+8422838XXXXX,geographic,Vietnam Posts and Telecommunications Corporation (VNPT)
VN,23,+842254XXXXXXX,geographic,Vietnam Multimedia Corporation (VTC)
VN,22,+842252XXXXXXX,geographic,EVNTelecom
VN,1,84,proper,
VN,18,+8421938XXXXX,geographic,Vietnam Posts and Telecommunications Corporation (VNPT)
VN,11,+8421162XXXXX,geographic,Viettel Telecom
VN,17,+8421837XXXXX,geographic,Vietnam Posts and Telecommunications Corporation (VNPT)
VN,12,+8421238XXXXX,geographic,Vietnam Posts and Telecommunications Corporation (VNPT)
VN,10,+8421062XXXXX,geographic,Viettel Telecom
VN,20,+842214XXXXXX,geographic,Vietnam Multimedia Corporation (VTC)
VN,16,+842164XXXXXX,geographic,Vietnam Multimedia Corporation (VTC)
VN,14,+842146XXXXXX,geographic,Viettel Telecom
VN,19,+8422035XXXXX,geographic,Vietnam Posts and Telecommunications Corporation (VNPT)
VN,13,+842137XXXXXX,geographic,Vietnam Posts and Telecommunications Corporation (VNPT)
VN,18,+842194XXXXXX,geographic,Vietnam Multimedia Corporation (VTC)
VN,23,+842256XXXXXXX,geographic,Viettel Telecom
VN,1,841251,internetserviceprovider,
VN,17,+8421838XXXXX,geographic,Vietnam Posts and Telecommunications Corporation (VNPT)
VN,11,+84212XXXXXXX,geographic,
VN,15,+842159XXXXXX,geographic,Vietnam Posts and Telecommunications Corporation (VNPT)
VN,12,+8421239XXXXX,geographic,Vietnam Posts and Telecommunications Corporation (VNPT)
VN,14,+8421462XXXXX,geographic,Viettel Telecom
VN,16,+842166XXXXXX,geographic,Viettel Telecom
VN,21,+8422162XXXXX,geographic,Viettel Telecom
VN,28,+8423235XXXXX,geographic,Vietnam Posts and Telecommunications Corporation (VNPT)
VN,19,+8422036XXXXX,geographic,Vietnam Posts and Telecommunications Corporation (VNPT)
VN,25,+8422738XXXXX,geographic,Vietnam Posts and Telecommunications Corporation (VNPT)
VN,10,+84211XXXXXXX,geographic,
VN,26,+8422839XXXXX,geographic,Vietnam Posts and Telecommunications Corporation (VNPT)
VN,13,+842138XXXXXX,geographic,Vietnam Posts and Telecommunications Corporation (VNPT)
VN,23,+84225632XXXXX,geographic,Viettel Telecom
VN,1,841259,internetserviceprovider,
VN,24,+8422639XXXXX,geographic,Vietnam Posts and Telecommunications Corporation (VNPT)
VN,17,+8421839XXXXX,geographic,Vietnam Posts and Telecommunications Corporation (VNPT)
VN,21,+84222XXXXXXX,geographic,
VN,26,+842284XXXXXX,geographic,Vietnam Multimedia Corporation (VTC)
VN,16,+8421662XXXXX,geographic,Viettel Telecom
VN,25,+8422739XXXXX,geographic,Vietnam Posts and Telecommunications Corporation (VNPT)
VN,22,+842253XXXXXXX,geographic,Vietnam Posts and Telecommunications Corporation (VNPT)
VN,27,+8422936XXXXX,geographic,Vietnam Posts and Telecommunications Corporation (VNPT)
VN,30,+842343XXXXXX,geographic,Vietnam Posts and Telecommunications Corporation (VNPT)
VN,15,+84216XXXXXXX,geographic,
VN,20,+842216XXXXXX,geographic,Viettel Telecom
VN,10,+842112XXXXXX,geographic,EVNTelecom
VN,18,+842196XXXXXX,geographic,Viettel Telecom
VN,30,+8423435XXXXX,geographic,Vietnam Posts and Telecommunications Corporation (VNPT)
VN,24,+842264XXXXXX,geographic,Vietnam Multimedia Corporation (VTC)
VN,1,841260,internetserviceprovider,
VN,26,+842286XXXXXX,geographic,Viettel Telecom
VN,19,+8422037XXXXX,geographic,Vietnam Posts and Telecommunications Corporation (VNPT)
VN,29,+8423336XXXXX,geographic,Vietnam Posts and Telecommunications Corporation (VNPT)
VN,28,+8423236XXXXX,geographic,Vietnam Posts and Telecommunications Corporation (VNPT)
VN,12,+842124XXXXXX,geographic,Vietnam Multimedia Corporation (VTC)
VN,27,+8422937XXXXX,geographic,Vietnam Posts and Telecommunications Corporation (VNPT)
VN,14,+84215XXXXXXX,geographic,
