Country,Page,Range,Type,Provider
VN,83,84995XXXXXX,mobile,Gmobile
VN,83,84996XXXXXX,mobile,Gmobile
VN,83,84993XXXXXX,mobile,Gmobile
VN,83,84994XXXXXX,mobile,Gmobile
VN,84,84997XXXXXX,mobile,Gmobile
VN,53,8456XXXXXXX,mobile,Vietnamobile
VN,55,8458XXXXXXX,mobile,
VN,56,8459XXXXXXX,mobile,Gmobile
VN,51,8452XXXXXXX,mobile,Vietnamobile
VN,49,8434XXXXXXX,mobile,Viettel Mobile
VN,49,8435XXXXXXX,mobile,Viettel Mobile
VN,49,8436XXXXXXX,mobile,Viettel Mobile
VN,49,8437XXXXXXX,mobile,Viettel Mobile
VN,49,8438XXXXXXX,mobile,Viettel Mobile
VN,49,8439XXXXXXX,mobile,Viettel Mobile
VN,48,8432XXXXXXX,mobile,Viettel Mobile
VN,49,8433XXXXXXX,mobile,Viettel Mobile
VN,82,8492XXXXXXX,mobile,Vietnamobile (CDMA)
VN,82,8493XXXXXXX,mobile,Vietnam Mobile Telecom Services Company (MobiFone)
VN,83,8494XXXXXXX,mobile,Vietnam Telecom Services Company (Vinaphone)
VN,83,8495XXXXXXX,mobile,S-Fone (CDMA)
VN,83,8496XXXXXXX,mobile,Viettel Mobile
VN,83,8497XXXXXXX,mobile,Viettel Mobile
VN,83,8498XXXXXXX,mobile,Viettel Mobile
VN,73,8490XXXXXXX,mobile,Vietnam Mobile Telecom Services Company (MobiFone)
VN,77,8491XXXXXXX,mobile,Vietnam Telecom Services Company (Vinaphone)
VN,73,8489XXXXXXX,mobile,Vietnam Mobile Telecom Services Company (MobiFone)
VN,73,8481XXXXXXX,mobile,Vietnam Telecom Services Company (Vinaphone)
VN,73,8482XXXXXXX,mobile,Vietnam Telecom Services Company (Vinaphone)
VN,73,8483XXXXXXX,mobile,Vietnam Telecom Services Company (Vinaphone)
VN,73,8484XXXXXXX,mobile,Vietnam Telecom Services Company (Vinaphone)
VN,73,8485XXXXXXX,mobile,Vietnam Telecom Services Company (Vinaphone)
VN,73,8488XXXXXXX,mobile,Vietnam Telecom Services Company (Vinaphone)
VN,72,8478XXXXXXX,mobile,Vietnam Mobile Telecom Services Company (MobiFone)
VN,72,8479XXXXXXX,mobile,Vietnam Mobile Telecom Services Company (MobiFone)
VN,68,8470XXXXXXX,mobile,
VN,72,8476XXXXXXX,mobile,Vietnam Mobile Telecom Services Company (MobiFone)
VN,72,8477XXXXXXX,mobile,Vietnam Mobile Telecom Services Company (MobiFone)
