Country,Page,Range,Type,Provider
VU,6,67871XXXXX,mobile,Telecom Vanuatu Ltd
VU,6,67870XXXXX,mobile,Telecom Vanuatu Ltd
VU,6,67876XXXXX,mobile,Telecom Vanuatu Ltd
VU,6,67875XXXXX,mobile,Telecom Vanuatu Ltd
VU,6,67874XXXXX,mobile,Telecom Vanuatu Ltd
VU,6,67873XXXXX,mobile,Telecom Vanuatu Ltd
VU,6,67877XXXXX,mobile,Telecom Vanuatu Ltd
VU,5,67859XXXXX,mobile,Digicel (Vanuatu) Ltd
VU,5,67850XXXXX,mobile,Digicel (Vanuatu) Ltd
VU,5,67854XXXXX,mobile,Digicel (Vanuatu) Ltd
VU,5,67853XXXXX,mobile,Digicel (Vanuatu) Ltd
VU,5,67852XXXXX,mobile,Digicel (Vanuatu) Ltd
VU,5,67851XXXXX,mobile,Digicel (Vanuatu) Ltd
VU,5,67858XXXXX,mobile,Digicel (Vanuatu) Ltd
VU,5,67857XXXXX,mobile,Digicel (Vanuatu) Ltd
VU,5,67856XXXXX,mobile,Digicel (Vanuatu) Ltd
VU,5,67855XXXXX,mobile,Digicel (Vanuatu) Ltd
