Country,Page,Range,Type,Provider
WS,1,685,proper,
WS,1,6852XXXX,geographic,Samoatel Ltd
WS,3,685800XXX,freephone,
WS,1,6853XXXX,geographic,Samoatel Ltd
WS,1,6854XXXX,geographic,Samoatel Ltd
WS,3,685830XXX,sharedcost,
WS,2,68565XXX,geographic,Samoatel Ltd
WS,3,68584XXXXX,wirelessgeographic,Digicel (Samoa) Ltd
WS,1,6855XXXX,geographic,Samoatel Ltd
WS,1,68560XXXX,wirelessgeographic,Samoatel Ltd
WS,1,68561XXX,geographic,Samoatel Ltd
WS,2,68566XXX,geographic,Samoatel Ltd
WS,2,68567XXX,geographic,Samoatel Ltd
WS,1,68562XXX,geographic,Samoatel Ltd
WS,1,68563XXX,geographic,Samoatel Ltd
WS,1,68564XXX,geographic,Samoatel Ltd
WS,2,68572XXXXX,mobile,Digicel (Samoa) Ltd
WS,2,68575XXXXX,mobile,Samoatel Ltd
WS,2,68576XXXXX,mobile,Samoatel Ltd
WS,2,685777XXXX,mobile,Digicel (Samoa) Ltd
WS,2,68577XXXXX,mobile,Digicel (Samoa) Ltd
WS,2,68568XXX,geographic,Samoatel Ltd
WS,2,68569XXX,geographic,Samoatel Ltd
