Country,Page,Range,Type,Provider
XC,1,34856096XXX,geographic,Xtra Telecom#comma S.l.
XC,2,34956103XXX,geographic,Vodafone España#comma S.a.u.
XC,1,3485620XXXX,geographic,Telefónica De España#comma S.a.u.
XC,1,34856462XXX,VoIPtelephony,Telefónica De España#comma S.a.u.
XC,2,34956117XXX,geographic,France Telecom España#comma S.a. Unipersonal
XC,3,34956758XXX,geographic,Telefónica De España#comma S.a.u.
XC,3,34956759XXX,geographic,Telefónica De España#comma S.a.u.
XC,2,349561295XX,geographic,Telefónica De España#comma S.a.u.
XC,1,34856463XXX,VoIPtelephony,Telefónica De España#comma S.a.u.
XC,3,34956928XXX,geographic,Jazz Telecom#comma S.a.u.
XC,1,3485656XXXX,geographic,Colt Technology Services#comma S.a. Unipersonal
XC,3,349569304XX,geographic,Informática El Corte Inglés#comma S.a.
XC,2,34956238XXX,geographic,Telefónica De España#comma S.a.u.
XC,1,34856599XXX,geographic,Voztelecom Sistemas#comma S.l.
XC,3,34956978XXX,geographic,France Telecom España#comma S.a. Unipersonal
XC,2,349564699XX,geographic,Telefónica De España#comma S.a.u.
XC,1,34856609XXX,geographic,Telefónica Móviles España#comma S.a.unipersonal
XC,2,3495650XXXX,geographic,Telefónica De España#comma S.a.u.
XC,2,3495651XXXX,geographic,Telefónica De España#comma S.a.u.
XC,3,34956984XXX,geographic,Bt España Compañía De Servicios Globales De Telecomunicaciones#comma S.a.u.
XC,1,34856907XXX,geographic,Telefónica De España#comma S.a.u.
XC,1,34956049XXX,geographic,Cableuropa#comma S.a.u.
XC,1,34956064XXX,geographic,Vodafone España#comma S.a.u.
XC,2,3495652XXXX,geographic,Telefónica De España#comma S.a.u.
XC,2,349565535XX,geographic,Telefónica De España#comma S.a.u.
XC,2,34956757XXX,geographic,Telefónica De España#comma S.a.u.
