Country,Page,Range,Type,Provider
XT,1,+373210XXXXX,geographic,InterDnestrCom
XT,1,+373215XXXXX,geographic,InterDnestrCom
XT,1,+373216XXXXX,geographic,InterDnestrCom
XT,1,+373219XXXXX,geographic,InterDnestrCom
XT,1,+373533XXXXX,geographic,InterDnestrCom
XT,1,+373552XXXXX,geographic,InterDnestrCom
XT,1,+373555XXXXX,geographic,InterDnestrCom
XT,1,+373557XXXXX,geographic,InterDnestrCom
XT,1,+373562XXXXX,mobile,InterDnestrCom
XT,1,+373770XXXXX,mobile,InterDnestrCom
XT,2,+373771XXXXX,mobile,InterDnestrCom
XT,2,+373772XXXXX,mobile,InterDnestrCom
XT,2,+373773XXXXX,mobile,InterDnestrCom
XT,2,+373774XXXXX,mobile,InterDnestrCom
XT,2,+373775XXXXX,mobile,InterDnestrCom
XT,2,+373776XXXXX,mobile,InterDnestrCom
XT,2,+373777XXXXX,mobile,InterDnestrCom
XT,2,+373777XXXXX,mobile,InterDnestrCom
XT,2,+373778XXXXX,mobile,InterDnestrCom
XT,2,+373779XXXXX,mobile,InterDnestrCom
