Country,Page,Range,Type,Provider
XY,1,+9039285XXXXX,mobile,Kuzey Kıbrıs Turkcell Telekomünikasyon A.Ş. (KKTCell)
XY,1,+9053382XXXXX,mobile,Kuzey Kıbrıs Turkcell Telekomünikasyon A.Ş. (KKTCell)
XY,1,+9053383XXXXX,mobile,Kuzey Kıbrıs Turkcell Telekomünikasyon A.Ş. (KKTCell)
XY,1,+9053384XXXXX,mobile,Kuzey Kıbrıs Turkcell Telekomünikasyon A.Ş. (KKTCell)
XY,1,+9053385XXXXX,mobile,Kuzey Kıbrıs Turkcell Telekomünikasyon A.Ş. (KKTCell)
XY,2,+9053386XXXXX,mobile,Kuzey Kıbrıs Turkcell Telekomünikasyon A.Ş. (KKTCell)
XY,2,+9053387XXXXX,mobile,Kuzey Kıbrıs Turkcell Telekomünikasyon A.Ş. (KKTCell)
XY,2,+9053388XXXXX,mobile,Kuzey Kıbrıs Turkcell Telekomünikasyon A.Ş. (KKTCell)
XY,2,+9053910XXXXX,mobile,Kuzey Kıbrıs Turkcell Telekomünikasyon A.Ş. (KKTCell)
XY,2,+9054285XXXXX,mobile,KKTC Telsim Telekomünikasyon A.Ş. (Vodafone)
XY,2,+9054286XXXXX,mobile,KKTC Telsim Telekomünikasyon A.Ş. (Vodafone)
XY,2,+9054287XXXXX,mobile,KKTC Telsim Telekomünikasyon A.Ş. (Vodafone)
XY,2,+9054288XXXXX,mobile,KKTC Telsim Telekomünikasyon A.Ş. (Vodafone)
XY,2,+9054289XXXXX,mobile,KKTC Telsim Telekomünikasyon A.Ş. (Vodafone)
XY,2,+9054698XXXXX,mobile,KKTC Telsim Telekomünikasyon A.Ş. (Vodafone)
XY,3,+9054699XXXXX,mobile,KKTC Telsim Telekomünikasyon A.Ş. (Vodafone)
XY,3,+9054881XXXXX,mobile,KKTC Telsim Telekomünikasyon A.Ş. (Vodafone)
XY,3,+9054882XXXXX,mobile,KKTC Telsim Telekomünikasyon A.Ş. (Vodafone)
XY,3,+9054883XXXXX,mobile,KKTC Telsim Telekomünikasyon A.Ş. (Vodafone)
XY,3,+9054884XXXXX,mobile,KKTC Telsim Telekomünikasyon A.Ş. (Vodafone)
XY,3,+9054885XXXXX,mobile,KKTC Telsim Telekomünikasyon A.Ş. (Vodafone)
XY,3,+9054886XXXXX,mobile,KKTC Telsim Telekomünikasyon A.Ş. (Vodafone)
XY,3,+9054887XXXXX,mobile,KKTC Telsim Telekomünikasyon A.Ş. (Vodafone)
XY,3,+9054888XXXXX,mobile,KKTC Telsim Telekomünikasyon A.Ş. (Vodafone)
XY,3,+9054889XXXXX,mobile,KKTC Telsim Telekomünikasyon A.Ş. (Vodafone)
