Country,Page,Range,Type,Provider
YE,11,+9674433XXX,geographic,Yemen International Telecommunications Company (TeleYemen)
YE,11,+96745XXXXX,geographic,Yemen International Telecommunications Company (TeleYemen)
YE,11,+9674500XXX,geographic,Yemen International Telecommunications Company (TeleYemen)
YE,10,+9674331XXX,geographic,Yemen International Telecommunications Company (TeleYemen)
YE,14,+967536XXXX,geographic,Yemen International Telecommunications Company (TeleYemen)
YE,10,+9674332XXX,geographic,Yemen International Telecommunications Company (TeleYemen)
YE,11,+9674501XXX,geographic,Yemen International Telecommunications Company (TeleYemen)
YE,13,+9675XXXXXX,geographic,
YE,14,+96754XXXXX,geographic,Yemen International Telecommunications Company (TeleYemen)
YE,11,+9674502XXX,geographic,Yemen International Telecommunications Company (TeleYemen)
YE,10,+9674333XXX,geographic,Yemen International Telecommunications Company (TeleYemen)
YE,16,+967630XXXX,geographic,Yemen International Telecommunications Company (TeleYemen)
YE,13,+96752XXXXX,geographic,Yemen International Telecommunications Company (TeleYemen)
YE,11,+9674503XXX,geographic,Yemen International Telecommunications Company (TeleYemen)
YE,13,+967520XXXX,geographic,Yemen International Telecommunications Company (TeleYemen)
YE,11,+9674540XXX,geographic,Yemen International Telecommunications Company (TeleYemen)
YE,10,+9674350XXX,geographic,Yemen International Telecommunications Company (TeleYemen)
YE,16,+967633XXXX,geographic,Yemen International Telecommunications Company (TeleYemen)
YE,14,+967540XXXX,geographic,Yemen International Telecommunications Company (TeleYemen)
YE,13,+967522XXXX,geographic,Yemen International Telecommunications Company (TeleYemen)
YE,15,+96755XXXXX,geographic,Yemen International Telecommunications Company (TeleYemen)
YE,13,+9675269XXX,geographic,Yemen International Telecommunications Company (TeleYemen)
YE,16,+967634XXXX,geographic,Yemen International Telecommunications Company (TeleYemen)
YE,14,+967541XXXX,geographic,Yemen International Telecommunications Company (TeleYemen)
YE,16,+9676342XXX,geographic,Yemen International Telecommunications Company (TeleYemen)
YE,15,+967550XXXX,geographic,Yemen International Telecommunications Company (TeleYemen)
YE,20,+9676865XXX,geographic,Yemen International Telecommunications Company (TeleYemen)
YE,17,+967640XXXX,geographic,Yemen International Telecommunications Company (TeleYemen)
YE,13,+96753XXXXX,geographic,Yemen International Telecommunications Company (TeleYemen)
YE,14,+967542XXXX,geographic,Yemen International Telecommunications Company (TeleYemen)
YE,11,+9674541XXX,geographic,Yemen International Telecommunications Company (TeleYemen)
YE,10,+9674355XXX,geographic,Yemen International Telecommunications Company (TeleYemen)
YE,16,+967636XXXX,geographic,Yemen International Telecommunications Company (TeleYemen)
YE,17,+9676430XXX,geographic,Yemen International Telecommunications Company (TeleYemen)
YE,16,+9676362XXX,geographic,Yemen International Telecommunications Company (TeleYemen)
YE,15,+9675508XXX,geographic,Yemen International Telecommunications Company (TeleYemen)
YE,11,+9674550XXX,geographic,Yemen International Telecommunications Company (TeleYemen)
YE,13,+96753XXXXX,geographic,Yemen International Telecommunications Company (TeleYemen)
YE,17,+9676431XXX,geographic,Yemen International Telecommunications Company (TeleYemen)
YE,20,+9676866XXX,geographic,Yemen International Telecommunications Company (TeleYemen)
YE,10,+96744XXXXX,geographic,Yemen International Telecommunications Company (TeleYemen)
YE,22,+9677450XXX,geographic,Yemen International Telecommunications Company (TeleYemen)
YE,14,+967542XXXX,geographic,Yemen International Telecommunications Company (TeleYemen)
YE,16,+9676371XXX,geographic,Yemen International Telecommunications Company (TeleYemen)
YE,11,+967462XXXX,geographic,Yemen International Telecommunications Company (TeleYemen)
YE,15,+96756XXXXX,geographic,Yemen International Telecommunications Company (TeleYemen)
YE,18,+967654XXXX,geographic,Yemen International Telecommunications Company (TeleYemen)
