Country,Page,Range,Type,Provider
YT,2,+26263900XXXX,mobile,Orange
YT,2,+26263901XXXX,mobile,Orange
YT,3,+26263902XXXX,mobile,Orange
YT,1,+262269XXXXXX,geographic,
YT,3,+26263903XXXX,mobile,Telco OI
YT,2,+26226965XXXX,geographic,Alnilam
YT,3,+26263904XXXX,mobile,Telco OI
YT,3,+26263905XXXX,mobile,Telco OI
YT,3,+26263906XXXX,mobile,Telco OI
YT,1,+26226906XXXX,geographic,Legos
YT,3,+26263907XXXX,mobile,Telco OI
YT,3,+26263909XXXX,mobile,Société réunionnaise du radiotéléphone
YT,2,+26226966XXXX,geographic,Orange
YT,3,+26263910XXXX,mobile,Société réunionnaise du radiotéléphone
YT,3,+26263911XXXX,mobile,Société réunionnaise du radiotéléphone
YT,3,+26263919XXXX,mobile,Telco OI
YT,1,+26226907XXXX,geographic,Equant France
YT,4,+26263920XXXX,mobile,Société réunionnaise du radiotéléphone
YT,2,+26226967XXXX,geographic,Get & go telecom
YT,4,+26263921XXXX,mobile,Société réunionnaise du radiotéléphone
YT,4,+26263922XXXX,mobile,Société réunionnaise du radiotéléphone
YT,4,+26263923XXXX,mobile,Société réunionnaise du radiotéléphone
YT,4,+26263924XXXX,mobile,Société réunionnaise du radiotéléphone
YT,1,+26226950XXXX,geographic,BJT Partners
YT,4,+26263925XXXX,mobile,Société réunionnaise du radiotéléphone
YT,4,+26263926XXXX,mobile,Telco OI
YT,4,+26263927XXXX,mobile,Société réunionnaise du radiotéléphone
YT,2,+26226968XXXX,geographic,Diabolocom SAS
YT,4,+26263928XXXX,mobile,Société réunionnaise du radiotéléphone
YT,4,+26263929XXXX,mobile,Société réunionnaise du radiotéléphone
YT,5,+26263930XXXX,mobile,BJT Partners
YT,5,+26263939XXXX,mobile,Telco OI
YT,5,+26263940XXXX,mobile,Société réunionnaise du radiotéléphone
YT,5,+26263950XXXX,mobile,BJT Partners
YT,5,+26263960XXXX,mobile,Orange
YT,5,+26263961XXXX,mobile,Orange
YT,5,+26263962XXXX,mobile,Orange
YT,5,+26263963XXXX,mobile,Orange
YT,5,+26263964XXXX,mobile,Orange
YT,1,+26226951XXXX,geographic,Société réunionnaise du radiotéléphone
YT,5,+26263965XXXX,mobile,Société réunionnaise du radiotéléphone
YT,2,+26226969XXXX,geographic,Keyyo
YT,6,+26263966XXXX,mobile,Société réunionnaise du radiotéléphone
YT,6,+26263967XXXX,mobile,Société réunionnaise du radiotéléphone
YT,6,+26263968XXXX,mobile,Société réunionnaise du radiotéléphone
YT,6,+26263969XXXX,mobile,Société réunionnaise du radiotéléphone
YT,6,+26263970XXXX,mobile,BJT Partners
YT,6,+26263971XXXX,mobile,Telco OI
YT,6,+26263972XXXX,mobile,Telco OI
YT,2,+26226970XXXX,geographic,Outremer Telecom
YT,1,+26226960XXXX,geographic,Orange
YT,6,+26263973XXXX,mobile,Telco OI
YT,6,+26263974XXXX,mobile,Telco OI
YT,6,+26263975XXXX,mobile,Telco OI
YT,7,+26263976XXXX,mobile,Orange
YT,7,+26263977XXXX,mobile,Orange
YT,7,+26263978XXXX,mobile,Orange
YT,7,+26263979XXXX,mobile,Orange
YT,7,+26263990XXXX,mobile,BJT Partners
YT,7,+26263994XXXX,mobile,Telco OI
YT,7,+26263995XXXX,mobile,Telco OI
YT,7,+26263996XXXX,mobile,Telco OI
YT,7,+26263997XXXX,mobile,Telco OI
YT,7,+26263999XXXX,mobile,Orange
YT,1,+26226961XXXX,geographic,Orange
YT,2,+26226980XXXX,geographic,Idom technologies
YT,1,+26226962XXXX,geographic,Orange
YT,2,+262639XXXXXX,mobile,
YT,1,+26226963XXXX,geographic,Orange
YT,1,+26226964XXXX,geographic,Orange
