Country,Page,Range,Type,Provider
YT,4,26263929XXXX,mobile,Société réunionnaise du radiotéléphone
YT,5,26263939XXXX,mobile,Telco OI
YT,5,26263930XXXX,mobile,BJT Partners
YT,3,26263919XXXX,mobile,Telco OI
YT,4,26263926XXXX,mobile,Telco OI
YT,4,26263925XXXX,mobile,Société réunionnaise du radiotéléphone
YT,4,26263928XXXX,mobile,Société réunionnaise du radiotéléphone
YT,4,26263927XXXX,mobile,Société réunionnaise du radiotéléphone
YT,4,26263922XXXX,mobile,Société réunionnaise du radiotéléphone
YT,4,26263921XXXX,mobile,Société réunionnaise du radiotéléphone
YT,4,26263924XXXX,mobile,Société réunionnaise du radiotéléphone
YT,4,26263923XXXX,mobile,Société réunionnaise du radiotéléphone
YT,4,26263920XXXX,mobile,Société réunionnaise du radiotéléphone
YT,3,26263907XXXX,mobile,Telco OI
YT,3,26263909XXXX,mobile,Société réunionnaise du radiotéléphone
YT,3,26263911XXXX,mobile,Société réunionnaise du radiotéléphone
YT,3,26263910XXXX,mobile,Société réunionnaise du radiotéléphone
YT,3,26263904XXXX,mobile,Telco OI
YT,3,26263903XXXX,mobile,Telco OI
YT,3,26263906XXXX,mobile,Telco OI
YT,3,26263905XXXX,mobile,Telco OI
YT,2,26263900XXXX,mobile,Orange
YT,3,26263902XXXX,mobile,Orange
YT,2,26263901XXXX,mobile,Orange
YT,7,26263977XXXX,mobile,Orange
YT,7,26263976XXXX,mobile,Orange
YT,7,26263979XXXX,mobile,Orange
YT,7,26263978XXXX,mobile,Orange
YT,6,26263973XXXX,mobile,Telco OI
YT,6,26263972XXXX,mobile,Telco OI
YT,6,26263975XXXX,mobile,Telco OI
YT,6,26263974XXXX,mobile,Telco OI
YT,6,26263971XXXX,mobile,Telco OI
YT,6,26263970XXXX,mobile,BJT Partners
YT,6,26263969XXXX,mobile,Société réunionnaise du radiotéléphone
YT,6,26263966XXXX,mobile,Société réunionnaise du radiotéléphone
YT,5,26263965XXXX,mobile,Société réunionnaise du radiotéléphone
YT,6,26263968XXXX,mobile,Société réunionnaise du radiotéléphone
YT,6,26263967XXXX,mobile,Société réunionnaise du radiotéléphone
YT,5,26263962XXXX,mobile,Orange
YT,5,26263961XXXX,mobile,Orange
YT,5,26263964XXXX,mobile,Orange
YT,5,26263963XXXX,mobile,Orange
YT,5,26263960XXXX,mobile,Orange
YT,5,26263950XXXX,mobile,BJT Partners
YT,5,26263940XXXX,mobile,Société réunionnaise du radiotéléphone
YT,7,26263999XXXX,mobile,Orange
YT,7,26263995XXXX,mobile,Telco OI
YT,7,26263994XXXX,mobile,Telco OI
YT,7,26263997XXXX,mobile,Telco OI
YT,7,26263996XXXX,mobile,Telco OI
YT,7,26263990XXXX,mobile,BJT Partners
