Country,Page,Range,Type,Provider
ZA,12,2784XXXXXX,mobile,CELL C
ZA,12,2783XXXXXX,mobile,MTN
ZA,12,2782XXXXXX,mobile,Vodacom
ZA,10,27714XXXXXX,mobile,Vodacom
ZA,10,27715XXXXXX,mobile,Vodacom
ZA,10,27712XXXXXX,mobile,Vodacom
ZA,10,27713XXXXXX,mobile,Vodacom
ZA,10,27718XXXXXX,mobile,MTN
ZA,10,27719XXXXXX,mobile,MTN
ZA,10,27716XXXXXX,mobile,Vodacom
ZA,10,27717XXXXXX,mobile,MTN
ZA,9,27710XXXXXX,mobile,MTN
ZA,9,27711XXXXXX,mobile,Vodacom
ZA,8,27615XXXXXX,mobile,CELL C
ZA,8,27613XXXXXX,mobile,CELL C
ZA,8,27614XXXXXX,mobile,8ta (Telkom)
ZA,8,27619XXXXXX,mobile,CELL C
ZA,8,27618XXXXXX,mobile,CELL C
ZA,8,27611XXXXXX,mobile,CELL C
ZA,8,27612XXXXXX,mobile,CELL C
ZA,7,27610XXXXXX,mobile,CELL C
ZA,7,27604XXXXXX,mobile,MTN
ZA,7,27605XXXXXX,mobile,MTN
ZA,7,27603XXXXXX,mobile,MTN
ZA,7,27608XXXXXX,mobile,Vodacom
ZA,7,27609XXXXXX,mobile,Vodacom
ZA,7,27606XXXXXX,mobile,Vodacom
ZA,7,27607XXXXXX,mobile,Vodacom
ZA,9,27626XXXXXX,mobile,Vodacom
ZA,9,27627XXXXXX,mobile,Vodacom
ZA,9,27624XXXXXX,mobile,CELL C
ZA,9,27625XXXXXX,mobile,Vodacom
ZA,9,27628XXXXXX,mobile,Vodacom
ZA,9,27629XXXXXX,mobile,Vodacom
ZA,8,27622XXXXXX,mobile,CELL C
ZA,9,27623XXXXXX,mobile,CELL C
ZA,8,27620XXXXXX,mobile,CELL C
ZA,8,27621XXXXXX,mobile,CELL C
ZA,11,27813XXXXXX,mobile,8ta (Telkom)
ZA,12,27814XXXXXX,mobile,8ta (Telkom)
ZA,11,27811XXXXXX,mobile,8ta (Telkom)
ZA,11,27812XXXXXX,mobile,8ta (Telkom)
ZA,12,27817XXXXXX,mobile,8ta (Telkom)
ZA,12,27818XXXXXX,mobile,Vodacom
ZA,12,27815XXXXXX,mobile,8ta (Telkom)
ZA,12,27816XXXXXX,mobile,WBS Mobile
ZA,11,27810XXXXXX,mobile,MTN
ZA,9,2763XXXXXXX,mobile,MTN
ZA,12,2785XXXXXXX,mobile,USAL licence holders
ZA,12,2784XXXXXXX,mobile,CELL C
ZA,12,2783XXXXXXX,mobile,MTN
ZA,12,2782XXXXXXX,mobile,Vodacom
ZA,11,2778XXXXXXX,mobile,MTN
ZA,11,2779XXXXXXX,mobile,Vodacom
ZA,11,2774XXXXXXX,mobile,CELL C
ZA,10,2773XXXXXXX,mobile,MTN
ZA,11,2776XXXXXXX,mobile,Vodacom
ZA,10,2772XXXXXXX,mobile,Vodacom
