Country,Page,Range,Type,Provider
ZM,13,+260212720XXX,geographic,Zamtel
ZM,13,+260212721XXX,geographic,Zamtel
ZM,14,+26021273XXXX,geographic,Zamtel
ZM,13,+260212722XXX,geographic,Zamtel
ZM,15,+260212836XXX,geographic,Zamtel
ZM,13,+260212723XXX,geographic,Zamtel
ZM,10,+260212657XXX,geographic,Zamtel
ZM,14,+260212820XXX,geographic,Zamtel
ZM,15,+260212837XXX,geographic,Zamtel
ZM,16,+260212846XXX,geographic,Zamtel
ZM,10,+260212658XXX,geographic,Zamtel
ZM,16,+260212847XXX,geographic,Zamtel
ZM,14,+260212821XXX,geographic,Zamtel
ZM,15,+260212838XXX,geographic,Zamtel
ZM,14,+260212822XXX,geographic,Zamtel
ZM,13,+260212724XXX,geographic,Zamtel
ZM,17,+260212968XXX,geographic,Zamtel
ZM,15,+260212839XXX,geographic,Zamtel
ZM,13,+260212725XXX,geographic,Zamtel
ZM,16,+260212960XXX,geographic,Zamtel
ZM,17,+260212969XXX,geographic,Zamtel
ZM,14,+260212830XXX,geographic,Zamtel
ZM,15,+260212840XXX,geographic,Zamtel
ZM,10,+260212659XXX,geographic,Zamtel
ZM,1,260,proper,
ZM,16,+260212961XXX,geographic,Zamtel
ZM,13,+260212726XXX,geographic,Zamtel
ZM,15,+260212841XXX,geographic,Zamtel
ZM,12,+260212686XXX,geographic,Zamtel
ZM,17,+260212970XXX,geographic,Zamtel
ZM,22,+260213274XXX,geographic,Zamtel
ZM,19,+260213237XXX,geographic,Zamtel
ZM,15,+260212842XXX,geographic,Zamtel
ZM,1,+260211XXXXXX,geographic,
ZM,14,+260212831XXX,geographic,Zamtel
ZM,17,+260212971XXX,geographic,Zamtel
ZM,10,+260212660XXX,geographic,Zamtel
ZM,12,+260212687XXX,geographic,Zamtel
ZM,16,+260212962XXX,geographic,Zamtel
ZM,22,+260213275XXX,geographic,Zamtel
ZM,15,+260212843XXX,geographic,Zamtel
ZM,1,+26021122XXXX,geographic,Zamtel
ZM,13,+260212727XXX,geographic,Zamtel
ZM,14,+260212832XXX,geographic,Zamtel
ZM,14,+260212833XXX,geographic,Zamtel
ZM,1,+26021123XXXX,geographic,Zamtel
ZM,13,+260212728XXX,geographic,Zamtel
ZM,18,+260212978XXX,geographic,Zamtel
ZM,25,+260213388XXX,geographic,Zamtel
ZM,16,+260212963XXX,geographic,Zamtel
ZM,14,+260212834XXX,geographic,Zamtel
ZM,22,+260213276XXX,geographic,Zamtel
ZM,15,+260212844XXX,geographic,Zamtel
ZM,23,+26021335XXXX,geographic,Zamtel
ZM,11,+260212667XXX,geographic,Zamtel
ZM,1,+26021124XXXX,geographic,Zamtel
ZM,19,+260213238XXX,geographic,Zamtel
ZM,10,+260212661XXX,geographic,Zamtel
ZM,12,+260212688XXX,geographic,Zamtel
