Country,Page,Range,Type,Provider
ZW,69,263718XXXXXX,mobile,NetOne Cellular Pvt Ltd
ZW,69,263717XXXXXX,mobile,NetOne Cellular Pvt Ltd
ZW,69,263716XXXXXX,mobile,NetOne Cellular Pvt Ltd
ZW,69,263715XXXXXX,mobile,NetOne Cellular Pvt Ltd
ZW,69,263714XXXXXX,mobile,NetOne Cellular Pvt Ltd
ZW,68,263713XXXXXX,mobile,NetOne Cellular Pvt Ltd
ZW,68,263712XXXXXX,mobile,NetOne Cellular Pvt Ltd
ZW,70,263739XXXXXX,mobile,Telecel Zimbabwe
ZW,70,263738XXXXXX,mobile,Telecel Zimbabwe
ZW,70,263737XXXXXX,mobile,Telecel Zimbabwe
ZW,69,263736XXXXXX,mobile,Telecel Zimbabwe
ZW,69,263735XXXXXX,mobile,Telecel Zimbabwe
ZW,69,263734XXXXXX,mobile,Telecel Zimbabwe
ZW,69,263733XXXXXX,mobile,Telecel Zimbabwe
ZW,69,263732XXXXXX,mobile,Telecel Zimbabwe
ZW,70,263773XXXXXX,mobile,Econet Wireless Zimbabwe
ZW,70,263772XXXXXX,mobile,Econet Wireless Zimbabwe
ZW,70,263771XXXXXX,mobile,Econet Wireless Zimbabwe
ZW,71,263779XXXXXX,mobile,Econet Wireless Zimbabwe
ZW,71,263778XXXXXX,mobile,Econet Wireless Zimbabwe
ZW,70,263777XXXXXX,mobile,Econet Wireless Zimbabwe
ZW,70,263776XXXXXX,mobile,Econet Wireless Zimbabwe
ZW,70,263775XXXXXX,mobile,Econet Wireless Zimbabwe
ZW,70,263774XXXXXX,mobile,Econet Wireless Zimbabwe
ZW,71,263784XXXXXX,mobile,Econet Wireless Zimbabwe
ZW,71,263783XXXXXX,mobile,Econet Wireless Zimbabwe
ZW,71,263782XXXXXX,mobile,Econet Wireless Zimbabwe
ZW,71,263785XXXXXX,mobile,Econet Wireless Zimbabwe
