Country,Page,Range,Type,Provider
AT,17111,43681XXXXXXXXX,mobile,YESSS! Telekommunikation GmbH
ID,105,6288XXXXXXXXX,mobile,GMPCS
AT,17111,43680XXXXXXXXX,mobile,A1 Telekom Austria Aktiengesellschaft
AT,16758,43650XXXXXXXXX,mobile,T-Mobile Austria GmbH
AT,17082,43661XXXXXXXXX,mobile,Mundio mobile (Austria) Ltd
ID,105,6286XXXXXXXXX,mobile,GMPCS
AT,17082,43660XXXXXXXXX,mobile,Hutchison Drei Austria GmbH
ID,104,6285XXXXXXXXX,mobile,DCS
AT,17110,436772XXXXXXXXX,mobile,T-Mobile Austria GmbH
AT,17112,43699XXXXXXXXX,mobile,Orange Austria Telecommunication GmbH
AT,17110,436778XXXXXXXXX,mobile,T-Mobile Austria GmbH
AT,17111,436888XXXXXXXXX,mobile,A1 Telekom Austria Aktiengesellschaft
AT,17111,436889XXXXXXXXX,mobile,A1 Telekom Austria Aktiengesellschaft
AT,17110,43676XXXXXXXXX,mobile,T-Mobile Austria GmbH
AT,17110,43664XXXXXXXXX,mobile,A1 Telekom Austria Aktiengesellschaft
